Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1986:10, 5195.038, 15396.87, 0, 6.91663, 0.8207955, 13.47175, 0, 66.99519, 1.870785, 9.924843, 17.20094, 25.08576, 3.055952, 64.61918, 1635.355, 1604.675, 2269.535, 40.05395, 0.4948562, 0.2949552, 3265.549, 0.62859, 2.963764, 3.112943, 0.9924802, 0.002475509, 0.1891434, 0.2001463, 0.196681, 
1986:11, 5168.438, 15334.41, 0, 6.91296, 0.8215359, 13.46352, 0, 66.99706, 1.879082, 9.925858, 17.20694, 25.11207, 3.060591, 64.66164, 1624.044, 1600.737, 2260.81, 40.02093, 0.492245, 0.2949912, 3250.591, 0.6289309, 2.966933, 3.109373, 0.9894297, 0.002343958, 0.1887345, 0.1997605, 0.1962865, 
1986:12, 5171.083, 15336.29, 0, 6.912719, 0.821931, 13.46801, 0, 67.00432, 1.878906, 9.914117, 17.2252, 25.12065, 3.060115, 64.67497, 1625.158, 1601.464, 2262.085, 39.96213, 0.4891807, 0.2949784, 3251.7, 0.6288239, 2.965779, 3.108914, 0.984705, 0.002153127, 0.1887749, 0.1997938, 0.1963222, 
1987:1, 5177.448, 15374.14, 0, 6.905543, 0.8213218, 13.45214, 0, 66.97881, 1.880959, 9.961226, 17.23213, 25.10574, 3.058659, 64.75846, 1627.96, 1601.893, 2263.385, 39.86238, 0.5687015, 0.2950227, 3256.09, 0.6288986, 2.969444, 3.057945, 0.977266, 0.009582625, 0.1888687, 0.1998992, 0.1964239, 
1987:2, 5194.439, 15413.52, 0, 6.904543, 0.8204185, 13.45803, 0, 66.9833, 1.874405, 9.959302, 17.23369, 25.09557, 3.055713, 64.69199, 1635.219, 1603.761, 2268.303, 39.82066, 0.5613931, 0.2949966, 3265.045, 0.6285654, 2.967312, 3.057564, 0.9765155, 0.008995168, 0.1891241, 0.2001383, 0.1966691, 
1987:3, 5211.342, 15451.72, 0, 6.910836, 0.8197464, 13.46375, 0, 66.97924, 1.868484, 9.957932, 17.20532, 25.06816, 3.052897, 64.64419, 1642.371, 1605.299, 2272.849, 39.87463, 0.554009, 0.2949719, 3274.89, 0.6284158, 2.965018, 3.055198, 0.9851925, 0.008173023, 0.1893772, 0.2003753, 0.1969121, 
1987:4, 5168.873, 15368.88, 0, 6.903109, 0.8200776, 13.43777, 0, 66.96018, 1.879273, 9.999591, 17.20006, 25.0865, 3.060071, 64.70927, 1624.426, 1599.047, 2258.655, 39.81318, 0.5454137, 0.2950754, 3252.201, 0.6291896, 2.973352, 3.056088, 0.9797211, 0.007190266, 0.1887257, 0.1997763, 0.1962938, 
1987:5, 5178.936, 15398.8, 0, 6.900212, 0.8197364, 13.43645, 0, 66.95609, 1.875025, 10.01249, 17.20945, 25.07784, 3.058173, 64.70959, 1628.764, 1601.068, 2262.373, 39.74949, 0.5356058, 0.2950811, 3257.831, 0.6290541, 2.973352, 3.060384, 0.9748814, 0.006043501, 0.1888787, 0.1999248, 0.1964442, 
1987:6, 5195.9, 15415.37, 0, 6.9067, 0.8201973, 13.45951, 0, 66.98256, 1.87143, 9.959619, 17.21302, 25.08369, 3.055516, 64.65583, 1635.842, 1603.729, 2268.427, 39.76515, 0.5255399, 0.2949939, 3265.962, 0.6285653, 2.966833, 3.063645, 0.9784876, 0.004774219, 0.1891391, 0.2001489, 0.1966812, 
1987:7, 5177.835, 15365.13, 0, 6.907744, 0.8210531, 13.46006, 0, 66.99052, 1.877368, 9.943255, 17.21803, 25.10398, 3.058744, 64.67377, 1628.124, 1601.165, 2262.707, 39.75116, 0.5169101, 0.2949968, 3255.697, 0.6287757, 2.967482, 3.066211, 0.9772523, 0.003798858, 0.1888642, 0.1998828, 0.1964115, 
1987:8, 5204.004, 15406.59, 0, 6.921477, 0.8213065, 13.48276, 0, 67.0051, 1.871203, 9.898161, 17.20035, 25.08212, 3.054508, 64.62794, 1639.085, 1605.05, 2271.558, 39.88203, 0.5114681, 0.2949102, 3270.132, 0.6283877, 2.960526, 3.065306, 0.9891342, 0.003106567, 0.1892687, 0.2002465, 0.1967898, 
1987:9, 5158.028, 15307.88, 0, 6.912384, 0.8219617, 13.46141, 0, 66.998, 1.884055, 9.922174, 17.20015, 25.11717, 3.06245, 64.68635, 1619.595, 1598.659, 2256.739, 39.86639, 0.5055926, 0.294992, 3244.62, 0.6290426, 2.967777, 3.066725, 0.9857079, 0.002428024, 0.1885688, 0.1995948, 0.1961203, 
1987:10, 5181.899, 15349.66, 0, 6.918898, 0.8221557, 13.47961, 0, 67.01355, 1.878147, 9.88764, 17.20462, 25.10655, 3.05843, 64.65696, 1629.644, 1602.928, 2265.51, 39.94473, 0.5009294, 0.2949225, 3257.299, 0.6285918, 2.962168, 3.068726, 0.9908596, 0.001823757, 0.1889441, 0.1999357, 0.1964736, 
1987:11, 5154.255, 15275.34, 0, 6.918065, 0.8238181, 13.47891, 0, 67.02528, 1.888364, 9.86556, 17.23075, 25.14791, 3.063308, 64.72602, 1617.852, 1599.444, 2257.194, 39.87215, 0.4976684, 0.2949375, 3241.547, 0.628907, 2.963636, 3.070244, 0.9835252, 0.001557348, 0.1885234, 0.1995309, 0.1960625, 
1987:12, 5198.682, 15489.96, 0, 6.889234, 0.81657, 13.40788, 0, 66.91112, 1.860562, 10.11464, 17.17411, 25.02245, 3.054287, 64.64476, 1637.448, 1603.826, 2267.811, 39.83521, 0.4965286, 0.2951719, 3270.5, 0.6291018, 2.979593, 3.069923, 0.9825578, 0.001619865, 0.1891987, 0.2002629, 0.1967768, 
1988:1, 5209.863, 15488.15, 0, 6.900265, 0.8185961, 13.4312, 0, 66.93352, 1.868634, 10.04779, 17.16572, 25.0315, 3.052762, 64.71551, 1641.891, 1605.163, 2271.697, 39.89853, 0.6039811, 0.2950666, 3275.754, 0.62876, 2.972852, 3.028504, 0.9900346, 0.009753948, 0.1893792, 0.2004035, 0.1969312, 
1988:2, 5179.027, 15407.14, 0, 6.90048, 0.8195627, 13.42803, 0, 66.9418, 1.878554, 10.03156, 17.16175, 25.05779, 3.058251, 64.7361, 1628.724, 1600.84, 2261.937, 39.92395, 0.5982844, 0.2950832, 3258.313, 0.6291363, 2.97491, 3.029248, 0.9912521, 0.009187453, 0.1889084, 0.1999525, 0.1964725, 
1988:3, 5166.956, 15352.31, 0, 6.905825, 0.8215717, 13.44489, 0, 66.97115, 1.885643, 9.970928, 17.18822, 25.09277, 3.060616, 64.77311, 1623.435, 1600.292, 2259.637, 39.91139, 0.5929816, 0.295029, 3250.434, 0.6290811, 2.971248, 3.031388, 0.9888775, 0.00875263, 0.1887256, 0.1997557, 0.19628, 
1988:4, 5184.721, 15379.56, 0, 6.912071, 0.8218462, 13.46144, 0, 66.98629, 1.881565, 9.936769, 17.19356, 25.08918, 3.057678, 64.74565, 1630.894, 1603.252, 2266.01, 39.97123, 0.5886695, 0.2949666, 3259.754, 0.6287232, 2.966324, 3.032643, 0.992794, 0.008379281, 0.1890019, 0.2000028, 0.1965375, 
1988:5, 5166.531, 15326.98, 0, 6.912529, 0.8228085, 13.46374, 0, 66.99831, 1.888134, 9.914471, 17.20941, 25.11727, 3.060944, 64.76794, 1623.12, 1600.831, 2260.464, 39.95683, 0.5829855, 0.2949647, 3249.18, 0.62889, 2.966591, 3.034897, 0.9902558, 0.007873634, 0.1887257, 0.1997337, 0.1962655, 
1988:6, 5187.805, 15377.26, 0, 6.915481, 0.8221042, 13.46989, 0, 66.99718, 1.881127, 9.914228, 17.20521, 25.09695, 3.057238, 64.7301, 1632.163, 1603.746, 2267.192, 40.01892, 0.5800539, 0.2949361, 3261.128, 0.6286142, 2.964117, 3.035242, 0.9943085, 0.007677451, 0.1890568, 0.2000453, 0.1965843, 
1988:7, 5167.005, 15325.67, 0, 6.913623, 0.8228136, 13.46587, 0, 67.00137, 1.887908, 9.908426, 17.2172, 25.1221, 3.060875, 64.76186, 1623.319, 1600.69, 2260.437, 39.98509, 0.5770246, 0.2949562, 3249.395, 0.6288739, 2.966064, 3.036825, 0.9904142, 0.007443167, 0.1887438, 0.1997479, 0.196281, 
1988:8, 5179.578, 15373.9, 0, 6.907887, 0.8215211, 13.45543, 0, 66.9837, 1.881602, 9.949862, 17.21895, 25.10221, 3.058434, 64.74779, 1628.791, 1602.2, 2263.941, 39.94847, 0.5749496, 0.2949857, 3256.936, 0.6288034, 2.968177, 3.038847, 0.9872906, 0.007298495, 0.1889421, 0.1999494, 0.1964817, 
1988:9, 5201.628, 15442.71, 0, 6.906629, 0.8197629, 13.44872, 0, 66.96372, 1.872306, 9.988854, 17.19646, 25.06495, 3.054472, 64.69849, 1638.256, 1604.479, 2269.916, 39.99026, 0.5743285, 0.2949977, 3270.01, 0.6286513, 2.968822, 3.039005, 0.9916944, 0.007235551, 0.1892836, 0.200285, 0.1968201, 
1988:10, 5196.737, 15436.7, 0, 6.90826, 0.8193942, 13.44235, 0, 66.953, 1.873081, 10.00391, 17.17045, 25.05301, 3.055346, 64.69354, 1636.174, 1603.212, 2267.658, 40.06035, 0.5755077, 0.2950164, 3267.95, 0.6288464, 2.97046, 3.037613, 0.997234, 0.007334996, 0.1892158, 0.200226, 0.1967579, 
1988:11, 5174.412, 15388.43, 0, 6.905571, 0.8198314, 13.43196, 0, 66.94753, 1.8798, 10.01528, 17.16496, 25.06457, 3.059207, 64.73394, 1626.689, 1600.334, 2260.694, 40.06341, 0.5759761, 0.2950557, 3255.787, 0.6292092, 2.973949, 3.038644, 0.9964049, 0.007229477, 0.1888823, 0.1999153, 0.1964388, 
1988:12, 5184.811, 15423.62, 0, 6.903967, 0.8190833, 13.42661, 0, 66.93537, 1.8755, 10.03947, 17.15459, 25.04478, 3.057291, 64.7317, 1631.153, 1602.184, 2264.245, 40.08931, 0.5744399, 0.2950691, 3262.043, 0.6291537, 2.97477, 3.041665, 0.9976877, 0.00665686, 0.1890489, 0.2000809, 0.1966051, 
1989:1, 5209.482, 15485.24, 0, 6.907328, 0.8179712, 13.42976, 0, 66.92967, 1.867045, 10.04823, 17.1143, 25.00071, 3.05316, 64.69326, 1641.566, 1605.484, 2271.877, 40.24427, 0.5692912, 0.2950474, 3275.912, 0.6288363, 2.97251, 2.971662, 1.00882, 0.007855885, 0.1894453, 0.2004588, 0.19699, 
1989:2, 5178.441, 15422.47, 0, 6.904232, 0.817804, 13.41138, 0, 66.91529, 1.875326, 10.07596, 17.08205, 25.00576, 3.058567, 64.71178, 1628.382, 1601.145, 2261.772, 40.35508, 0.5720794, 0.2951095, 3259.294, 0.6293968, 2.978206, 2.972537, 1.013848, 0.007729082, 0.1889912, 0.2000415, 0.1965593, 
1989:3, 5154.433, 15363.18, 0, 6.902134, 0.8188919, 13.40586, 0, 66.91924, 1.884124, 10.06975, 17.09333, 25.02889, 3.062804, 64.77731, 1618.136, 1599.094, 2255.469, 40.35738, 0.576156, 0.2951322, 3245.762, 0.629703, 2.980577, 2.974865, 1.010716, 0.007922267, 0.188643, 0.1997111, 0.1962221, 
1989:4, 5164.759, 15401.07, 0, 6.898155, 0.818295, 13.3988, 0, 66.9071, 1.880152, 10.09748, 17.10656, 25.01725, 3.06077, 64.79762, 1622.608, 1601.359, 2259.421, 40.31921, 0.5803736, 0.2951529, 3251.973, 0.6296467, 2.981952, 2.977759, 1.005941, 0.008252159, 0.1888174, 0.1998864, 0.1963974, 
1989:5, 5193.017, 15497.42, 0, 6.892224, 0.815851, 13.38463, 0, 66.87642, 1.868021, 10.16286, 17.08883, 24.97227, 3.055524, 64.75048, 1634.8, 1604.773, 2267.465, 40.33434, 0.5880246, 0.2951907, 3268.826, 0.6294657, 2.984281, 2.977758, 1.007379, 0.009095522, 0.1892584, 0.2003272, 0.1968392, 
1989:6, 5187.666, 15482.39, 0, 6.894014, 0.8160082, 13.38453, 0, 66.8772, 1.870542, 10.15771, 17.08535, 24.9765, 3.056519, 64.75259, 1632.494, 1603.634, 2265.425, 40.34649, 0.6003007, 0.2951873, 3265.941, 0.6295589, 2.984462, 2.975695, 1.008449, 0.01056114, 0.189185, 0.2002555, 0.1967667, 
1989:7, 5184.863, 15473.09, 0, 6.8955, 0.816305, 13.38537, 0, 66.87874, 1.872746, 10.15134, 17.08397, 24.97965, 3.057066, 64.76807, 1631.258, 1603.226, 2264.587, 40.35663, 0.6146441, 0.2951806, 3264.385, 0.6295991, 2.984281, 2.973013, 1.009372, 0.01239256, 0.1891495, 0.2002187, 0.1967302, 
1989:8, 5183.463, 15467.66, 0, 6.8967, 0.8165761, 13.38621, 0, 66.87999, 1.874553, 10.146, 17.08339, 24.98179, 3.057359, 64.7859, 1630.62, 1603.144, 2264.323, 40.36539, 0.6294251, 0.2951737, 3263.596, 0.629617, 2.98404, 2.97029, 1.010152, 0.01437978, 0.189134, 0.200201, 0.1967133, 
1989:9, 5182.668, 15463.9, 0, 6.897802, 0.8167799, 13.38706, 0, 66.88117, 1.876026, 10.14116, 17.08334, 24.98364, 3.057544, 64.80109, 1630.242, 1603.179, 2264.28, 40.3729, 0.6422377, 0.2951668, 3263.135, 0.6296246, 2.983771, 2.968488, 1.010695, 0.01610509, 0.1891274, 0.200192, 0.196705, 
1989:10, 5196.845, 15495.03, 0, 6.903447, 0.8165181, 13.39235, 0, 66.87877, 1.872825, 10.13608, 17.06514, 24.96486, 3.055192, 64.78919, 1636.199, 1605.151, 2268.848, 40.45596, 0.6552314, 0.2951387, 3271.359, 0.6294895, 2.981622, 2.965653, 1.017436, 0.01773662, 0.1893501, 0.2003988, 0.1969176, 
1989:11, 5171.229, 15435.37, 0, 6.901309, 0.8170928, 13.38346, 0, 66.87756, 1.88144, 10.13913, 17.06186, 24.98356, 3.059691, 64.82944, 1625.285, 1601.701, 2260.805, 40.47065, 0.6653687, 0.2951711, 3257.152, 0.6298603, 2.984856, 2.964879, 1.017174, 0.01899412, 0.1889687, 0.2000399, 0.1965503, 
1989:12, 5173.108, 15434.83, 0, 6.902745, 0.8176523, 13.38768, 0, 66.88287, 1.88277, 10.12629, 17.0703, 24.98833, 3.059404, 64.85734, 1626.03, 1602.672, 2262.222, 40.47568, 0.6798238, 0.2951535, 3257.997, 0.6297948, 2.983667, 2.96271, 1.016612, 0.02124831, 0.1890057, 0.2000693, 0.1965823, 
1990:1, 5178.708, 15437.08, 0, 6.907652, 0.8173676, 13.39842, 0, 66.89568, 1.875848, 10.10503, 17.07738, 24.99269, 3.05857, 64.76514, 1628.414, 1603.831, 2264.535, 40.50436, 0.5975118, 0.2951216, 3260.843, 0.6296634, 2.980875, 2.990374, 1.018158, 0.01352381, 0.1890796, 0.2001325, 0.1966494, 
1990:2, 5181.121, 15440.01, 0, 6.91008, 0.8174698, 13.40074, 0, 66.89738, 1.876681, 10.09766, 17.07494, 24.9914, 3.058229, 64.7733, 1629.384, 1604.152, 2265.374, 40.54754, 0.6156482, 0.2951077, 3262.209, 0.6296338, 2.980052, 2.985543, 1.021005, 0.01606538, 0.1891249, 0.2001718, 0.1966907, 
1990:3, 5169.467, 15410.38, 0, 6.90957, 0.8180651, 13.39854, 0, 66.90016, 1.881989, 10.09168, 17.08337, 25.00679, 3.060298, 64.81284, 1624.391, 1602.634, 2261.846, 40.53389, 0.6325185, 0.2951153, 3255.624, 0.6297793, 2.981038, 2.982554, 1.019292, 0.01840808, 0.1889543, 0.2000081, 0.1965243, 
1990:4, 5179.537, 15439.88, 0, 6.908496, 0.8175692, 13.39692, 0, 66.89504, 1.879237, 10.10275, 17.0849, 24.99706, 3.05849, 64.81247, 1628.683, 1604.068, 2265.056, 40.535, 0.6474594, 0.2951128, 3261.363, 0.629663, 2.980937, 2.980421, 1.019636, 0.02046323, 0.1891139, 0.2001615, 0.1966801, 
1990:5, 5181.714, 15446.49, 0, 6.908894, 0.8174077, 13.39613, 0, 66.89311, 1.87918, 10.10528, 17.08397, 24.99487, 3.058124, 64.81495, 1629.594, 1604.176, 2265.571, 40.54112, 0.6589311, 0.2951103, 3262.675, 0.6296516, 2.980961, 2.979816, 1.020581, 0.02172849, 0.1891516, 0.2001969, 0.1967164, 
1990:6, 5191.719, 15471.08, 0, 6.912604, 0.8170267, 13.39777, 0, 66.88844, 1.876623, 10.10754, 17.06885, 24.97867, 3.056446, 64.80231, 1633.811, 1605.315, 2268.51, 40.60481, 0.6688593, 0.2950961, 3268.638, 0.6295869, 2.979954, 2.979454, 1.026273, 0.02236888, 0.1893102, 0.2003459, 0.1968689, 
1990:7, 5167.87, 15416.86, 0, 6.909776, 0.8176337, 13.38867, 0, 66.88638, 1.884565, 10.11299, 17.07086, 24.999, 3.060603, 64.84766, 1623.666, 1602.001, 2260.903, 40.58454, 0.6757334, 0.2951298, 3255.437, 0.6299378, 2.983214, 2.981637, 1.024232, 0.02239124, 0.1889541, 0.2000114, 0.1965263, 
1990:8, 5176.782, 15443.88, 0, 6.908331, 0.8172598, 13.38671, 0, 66.88087, 1.881723, 10.12509, 17.07364, 24.99023, 3.058969, 64.85077, 1627.479, 1603.563, 2264.005, 40.57024, 0.6813554, 0.2951298, 3260.559, 0.6298429, 2.983297, 2.984515, 1.023424, 0.02222225, 0.1890982, 0.2001505, 0.1966674, 
1990:9, 5194.245, 15486.49, 0, 6.912724, 0.816636, 13.39039, 0, 66.8756, 1.876469, 10.12817, 17.0575, 24.9675, 3.055984, 64.82248, 1634.874, 1605.825, 2269.391, 40.63509, 0.6876011, 0.2951058, 3270.708, 0.6296792, 2.981471, 2.985332, 1.029406, 0.02223591, 0.1893721, 0.2004084, 0.1969312, 
1990:10, 5169.91, 15430.42, 0, 6.910371, 0.8171763, 13.38163, 0, 66.87387, 1.88434, 10.13262, 17.0562, 24.98703, 3.060242, 64.85838, 1624.521, 1602.372, 2261.556, 40.62784, 0.6930456, 0.2951376, 3257.236, 0.6300373, 2.98466, 2.98709, 1.028178, 0.02227043, 0.1890099, 0.2000679, 0.1965826, 
1990:11, 5184.918, 15463.21, 0, 6.914515, 0.8169948, 13.38781, 0, 66.87424, 1.88052, 10.12592, 17.04933, 24.97216, 3.057687, 64.84681, 1630.853, 1604.854, 2266.786, 40.68128, 0.6983708, 0.2951077, 3265.724, 0.6298507, 2.982344, 2.988121, 1.03226, 0.02235704, 0.1892488, 0.2002896, 0.1968106, 
1990:12, 5167.906, 15419.79, 0, 6.914048, 0.8176913, 13.38495, 0, 66.87759, 1.886801, 10.11892, 17.05395, 24.99082, 3.060707, 64.87885, 1623.589, 1602.673, 2261.611, 40.67548, 0.7041509, 0.295119, 3256.148, 0.6300711, 2.983759, 2.990292, 1.03108, 0.02231296, 0.188998, 0.20005, 0.1965666, 
1991:1, 5165.299, 15407.07, 0, 6.915675, 0.8177287, 13.38981, 0, 66.88655, 1.885292, 10.10495, 17.07319, 25.005, 3.061191, 64.85616, 1622.493, 1602.827, 2261.383, 40.62413, 0.6564681, 0.2951087, 3254.469, 0.6300641, 2.982804, 3.004954, 1.026802, 0.01777919, 0.1889604, 0.2000093, 0.1965269, 
1991:2, 5216.48, 15545.85, 0, 6.922831, 0.8152462, 13.39044, 0, 66.85888, 1.867488, 10.14512, 17.02938, 24.92951, 3.05225, 64.77488, 1644.286, 1609.312, 2276.79, 40.76802, 0.6633257, 0.2950819, 3284.608, 0.6296597, 2.980142, 3.003707, 1.040185, 0.01772675, 0.1897448, 0.2007614, 0.1972916, 
