EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/11/2022 6:03:12 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,amo_lag1_pcp
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985


Time,"Total B","Commercial B","Fish B","Invertebrates B","Invertebrates / Fish B","Demersal B","Pelagic B","Demersal / Pelagic B","Predatory B","Kempton's Q","Shannon diversity","Total C","Fish C","Invertebrate C","Invertebrates / Fish C","Demersal C","Pelagic C","Demersal / pelagic C","Predatory C",Discards,"TL catch",MTI,"TL community","TL community 2","TL community 3.25","TL community 4","Intrinsic Vul. Index","Endemics B","Endemics C","IUCN species B","IUCN species C","Mammals, birds & reptiles B","Mammals, birds & reptiles C","ML of fish community","ML of fish C","MW of fish community","MW of fish C","MLS of fish community","MLS of fish C"
29,52.72266,2.727549,0,0,0,0,0,0,0.1182972,1.563179,1.427812,0.5356058,0,0,0,0,0,0,0.07176998,0.5245022,3.060384,3.71914,1.794902,2.345054,3.636998,4.053665,0,0,0,0,0,0,0,0,0,0,0,0,0
30,52.73478,2.773728,0,0,0,0,0,0,0.1159926,1.562007,1.433093,0.5255399,0,0,0,0,0,0,0.06984562,0.5144362,3.063645,3.71185,1.795389,2.345373,3.633779,4.053569,0,0,0,0,0,0,0,0,0,0,0,0,0
31,52.72066,2.749954,0,0,0,0,0,0,0.1139307,1.560472,1.431284,0.5169101,0,0,0,0,0,0,0.06809103,0.5058064,3.066211,3.704837,1.795107,2.345211,3.630712,4.053473,0,0,0,0,0,0,0,0,0,0,0,0,0
32,52.8461,2.951971,0,0,0,0,0,0,0.1121521,1.559947,1.448686,0.5114681,0,0,0,0,0,0,0.06651895,0.5003644,3.065306,3.698279,1.797599,2.346775,3.627917,4.053376,0,0,0,0,0,0,0,0,0,0,0,0,0
33,52.83335,2.893395,0,0,0,0,0,0,0.110656,1.561527,1.443668,0.5055926,0,0,0,0,0,0,0.06512352,0.494489,3.066725,3.692003,1.797052,2.346502,3.625258,4.053278,0,0,0,0,0,0,0,0,0,0,0,0,0
34,52.91137,2.989194,0,0,0,0,0,0,0.1092651,1.565375,1.451213,0.5009294,0,0,0,0,0,0,0.06381465,0.4898258,3.068726,3.685935,1.798403,2.347355,3.622721,4.053183,0,0,0,0,0,0,0,0,0,0,0,0,0
35,52.84781,2.859182,0,0,0,0,0,0,0.1079583,1.572041,1.440471,0.4976684,0,0,0,0,0,0,0.06258238,0.4865648,3.070244,3.679949,1.796884,2.346497,3.620205,4.053091,0,0,0,0,0,0,0,0,0,0,0,0,0
36,52.80972,2.835185,0,0,0,0,0,0,0.1067824,1.581706,1.439054,0.4965286,0,0,0,0,0,0,0.06144067,0.485425,3.069923,3.674246,1.796491,2.346295,3.617954,4.052999,0,0,0,0,0,0,0,0,0,0,0,0,0
37,52.86707,2.960669,0,0,0,0,0,0,0.1057808,1.601591,1.450005,0.6039811,0,0,0,0,0,0,0.0612751,0.5928775,3.028504,3.648885,1.797864,2.347124,3.616217,4.052939,0,0,0,0,0,0,0,0,0,0,0,0,0
38,52.8899,2.983337,0,0,0,0,0,0,0.1050475,1.617554,1.451788,0.5982844,0,0,0,0,0,0,0.06060271,0.5871809,3.029248,3.645332,1.798211,2.347332,3.614565,4.052876,0,0,0,0,0,0,0,0,0,0,0,0,0
