Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
July,1.00709,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,4.682942,1,
August,1.009776,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,4.99499,1,
September,1.012544,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,4.818595,1,
October,1.015377,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,4.196944,1,
November,1.018256,0.7264566,1.150857,0.7637696,1.593433,0.7181891,0.5126197,3.28224,1,
December,1.021165,1.147803,1.150857,0.7637696,1.593433,0.7181891,0.5126197,2.298434,1,
1993,1.024086,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,1.181405,1,
February,1.027002,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,1.00501,1,
March,1.029894,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,1.317058,1,
April,1.032746,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,2.041149,1,
May,1.035541,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,3,1,
June,1.03826,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,3.958851,1,
July,1.040886,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,4.682942,1,
August,1.043402,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,4.99499,1,
September,1.04579,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,4.818595,1,
October,1.048033,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,4.196944,1,
November,1.050113,1.147803,0.9387344,0.9095556,1.445437,0.5566732,0.511638,3.28224,1,
December,1.052013,1.25481,0.9387344,0.9095556,1.445437,0.5566732,0.511638,2.298434,1,
1994,1.053715,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,1.181405,1,
February,1.055203,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,1.00501,1,
March,1.056458,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,1.317058,1,
April,1.057462,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,2.041149,1,
May,1.0582,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,3,1,
June,1.058652,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,3.958851,1,
July,1.058802,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,4.682942,1,
August,1.058638,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,4.99499,1,
September,1.05817,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,4.818595,1,
October,1.057414,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,4.196944,1,
November,1.056387,1.25481,0.4384091,0.7089516,0.942323,1.123587,0.4345662,3.28224,1,
December,1.055104,1.16052,0.4384091,0.7089516,0.942323,1.123587,0.4345662,2.298434,1,
1995,1.053582,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,1.181405,1,
February,1.051836,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,1.00501,1,
