EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:38:07 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.6142849,1.58403E-06,0.000737796,0.00316403,0.003270878,0.04083724,0.1050149,0.02996621,0.02319874,0.005424567,0.002796988,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6285707,1.58403E-06,0.000737796,0.00316403,0.003346374,0.04177232,0.1072903,0.03056615,0.02362899,0.005517303,0.002845974,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6428564,1.58403E-06,0.000737796,0.00316403,0.003421755,0.04270603,0.1095567,0.03116151,0.02405426,0.005608513,0.002894184,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6571422,1.58403E-06,0.000737796,0.00316403,0.003497026,0.0436384,0.1118145,0.03175227,0.02447456,0.005698205,0.002941614,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6714279,1.58403E-06,0.000737796,0.00316403,0.003572419,0.04457106,0.1140664,0.03233924,0.02489043,0.005786462,0.002988255,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6857136,1.58403E-06,0.000737796,0.00316403,0.003647692,0.0455023,0.1163096,0.03292165,0.02530135,0.005873197,0.003034114,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6999994,1.58403E-06,0.000737796,0.00316403,0.00372284,0.04643207,0.1185437,0.03349944,0.02570731,0.005958422,0.003079189,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7142851,1.58403E-06,0.000737796,0.00316403,0.003797856,0.04736032,0.1207688,0.03407266,0.02610834,0.006042134,0.003123481,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7285709,1.58403E-06,0.000737796,0.00316403,0.003872736,0.04828701,0.1229847,0.03464122,0.02650441,0.006124336,0.003166987,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7428566,1.58403E-06,0.000737796,0.00316403,0.003947472,0.04921211,0.1251916,0.03520517,0.02689551,0.006205032,0.003209708,0.005142,0.000749268,0.03243504,2.6853E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
