EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:36:15 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.2571419,0.02431074,0.05686488,0.08076553,0.2854608,0.9669735,0.8042698,0.3649444,0.1347281,0.05194348,0.03678514,0.2878394,0.001585525,0.1052459,0.000648575,0.006951312,0.01327988,0.2329313,0.1125127,14.52735,13.56787,8.594637,12.97173
0.2714276,0.02418367,0.05674377,0.08034317,0.2856021,0.9670047,0.8032489,0.3639059,0.1341632,0.05166316,0.03659596,0.2879804,0.001586972,0.1053388,0.0006496937,0.006960703,0.01331763,0.2336608,0.1126778,14.52734,13.56791,8.594635,12.9717
0.2857133,0.02405754,0.05662346,0.07992409,0.2857372,0.9670224,0.8022205,0.3628657,0.1335983,0.05138281,0.03640634,0.2881211,0.001588414,0.1054311,0.0006508085,0.006970047,0.01335538,0.2343904,0.1128419,14.52733,13.56796,8.594633,12.97167
0.299999,0.02393235,0.05650398,0.07950836,0.2858655,0.9670255,0.8011839,0.3618237,0.1330335,0.05110245,0.03621628,0.2882624,0.001589849,0.1055228,0.0006519188,0.006979336,0.0133931,0.2351199,0.113005,14.52732,13.56802,8.594631,12.97165
0.3142847,0.02380809,0.05638528,0.0790957,0.2859873,0.9670148,0.8001395,0.36078,0.1324686,0.05082206,0.03602584,0.2884036,0.001591279,0.105614,0.0006530248,0.006988576,0.01343083,0.2358497,0.1131671,14.5273,13.56807,8.594627,12.97162
0.3285705,0.02368473,0.05626737,0.07868621,0.2861021,0.9669889,0.7990867,0.3597343,0.1319038,0.05054166,0.03583499,0.2885447,0.001592702,0.1057045,0.0006541262,0.006997759,0.01346854,0.2365794,0.1133281,14.52728,13.56814,8.594622,12.97159
0.3428562,0.02356231,0.05615021,0.07828005,0.2862107,0.9669503,0.7980267,0.3586871,0.131339,0.05026126,0.03564376,0.2886861,0.001594121,0.1057945,0.000655224,0.007006896,0.01350625,0.2373093,0.1134883,14.52726,13.56821,8.594618,12.97156
0.3571419,0.02344078,0.05603383,0.07787687,0.2863122,0.9668962,0.7969579,0.357638,0.1307743,0.04998088,0.03545217,0.2888275,0.001595532,0.1058838,0.000656317,0.007015976,0.01354395,0.2380393,0.1136473,14.52724,13.56829,8.594612,12.97153
0.3714276,0.02332016,0.05591825,0.07747696,0.286407,0.9668281,0.7958815,0.3565869,0.1302095,0.04970048,0.03526021,0.2889691,0.001596935,0.1059724,0.0006574054,0.007025,0.01358163,0.2387691,0.1138053,14.5272,13.56838,8.594604,12.9715
0.3857133,0.02320043,0.05580338,0.07708004,0.2864951,0.9667457,0.7947968,0.3555342,0.1296448,0.04942011,0.03506794,0.2891107,0.001598333,0.1060605,0.0006584893,0.007033972,0.0136193,0.2394991,0.1139624,14.52717,13.56847,8.594597,12.97147
