EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
23,0.003341289,,0.006981737,,0.009012126,,0.04808081,,0.2703815,,0.116709,,0.02439383,,0.006732866,,0.002120285,,0.177284,,8.501777E-05,,0.01231491,,0.1103593,,0.002346163,,0.00899019,,0.001596802,,
24,0.003353418,,0.007348878,,0.01010945,,0.05770327,,0.2802403,,0.124738,,0.02568193,,0.006942254,,0.002216219,,0.1875188,,9.531801E-05,,0.01355368,,0.1213727,,0.002215231,,0.009809069,,0.001784456,,
25,0.003479707,,0.005294941,,0.005341508,,0.08649281,,0.3785068,,0.1710514,,0.03482485,,0.009894089,,0.003332508,,0.2103812,,0.0001391677,,0.01240394,,0.1076953,,0.001974747,,0.01991161,,0.0179323,,
26,0.003485298,,0.005746847,,0.006310832,,0.09703746,,0.3718877,,0.1771237,,0.03583579,,0.01005034,,0.003419959,,0.2297347,,0.0001611969,,0.01423785,,0.1197474,,0.003121123,,0.02046546,,0.01745006,,
27,0.003477794,,0.006250958,,0.007540243,,0.1080134,,0.3560173,,0.1800157,,0.036367,,0.01009746,,0.003465227,,0.2531997,,0.0001849727,,0.01641283,,0.1305247,,0.003712508,,0.02105727,,0.01597735,,
28,0.003479169,,0.006831276,,0.009123973,,0.1228408,,0.3511765,,0.1884376,,0.03792745,,0.01041092,,0.003586334,,0.2826716,,0.0002138672,,0.01911812,,0.1448277,,0.003091542,,0.02174218,,0.0153723,,
29,0.003491024,,0.007528469,,0.01118131,,0.1358513,,0.3355349,,0.194345,,0.03898711,,0.01060665,,0.003662658,,0.3186685,,0.0002484276,,0.02236287,,0.1597987,,0.004213379,,0.02255544,,0.01526201,,
30,0.003487555,0.00343,0.008291577,0.000327,0.01369949,0.000538,0.1431824,0.03206667,0.3150194,0.1826588,0.1958854,0.1134515,0.03941089,0.0187305,0.01065118,0.002501237,0.003684198,0.001608549,0.3602072,0.115,0.0002874765,1.93E-05,0.02604054,0.00339,0.1731107,0.0717,0.003820478,0.0009402254,0.02343461,0.05998843,0.01496893,0.08815744,
31,0.00348225,,0.009074328,,0.01655265,,0.1446621,,0.2961648,,0.1907981,,0.03911849,,0.01052434,,0.003644967,,0.403818,,0.0003262553,,0.02982689,,0.1835414,,0.003523427,,0.02420564,,0.01455094,,
32,0.003475628,,0.009839971,,0.01959597,,0.1423938,,0.2870676,,0.1824847,,0.03844135,,0.01030565,,0.003570849,,0.4467083,,0.0003616333,,0.03348868,,0.1915721,,0.003257012,,0.02487826,,0.01423319,,
33,0.003473875,,0.01063524,,0.02289714,,0.1455214,,0.2996377,,0.1795265,,0.03871032,,0.01031244,,0.003562046,,0.4908152,,0.0003990099,,0.03723644,,0.2024923,,0.003922839,,0.02585623,,0.01510344,,
34,0.003482503,,0.01147609,,0.02653783,,0.1462455,,0.3147104,,0.1776855,,0.03901057,,0.01032406,,0.003549432,,0.5371084,,0.0004426494,,0.04114452,,0.2155544,,0.004136358,,0.0275218,,0.01716238,,
35,0.003482918,,0.01235376,,0.03051567,,0.1408898,,0.3498918,,0.172113,,0.03922009,,0.01030975,,0.003524506,,0.585478,,0.0004941506,,0.04518515,,0.228893,,0.00302436,,0.03014528,,0.01947619,,
