EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2005,7.203424,1.872989,2.158659,9.450516,3.627095,1.842597,12.88353,3.631935,10.06734,3.782831,10.79153,3.76634,7.330058,12.5689,154.6948,0,0
2006,7.190262,1.851901,2.150351,9.446239,3.613586,1.81396,12.90055,3.619768,10.08184,3.81133,10.89207,3.774508,7.332305,12.56073,154.6666,0,0
2007,7.179486,1.832702,2.15834,9.445075,3.602788,1.791995,12.85705,3.634475,10.06608,3.868242,10.75515,3.75946,7.334114,12.54961,154.6424,0,0
2008,7.169073,1.84061,2.181067,9.438804,3.595329,1.781696,12.863,3.649816,10.04091,3.823974,10.78181,3.775743,7.335333,12.53976,154.6293,0,0
2009,7.167225,1.839333,2.185169,9.429358,3.585466,1.766994,12.87488,3.64072,10.04642,3.791294,10.73487,3.822113,7.336767,12.53043,154.6133,0,0
2010,7.150342,1.896082,2.225077,9.421891,3.585135,1.768777,13.02,3.666177,10.04508,3.702635,10.7532,3.774362,7.33733,12.52168,154.6089,0,0
2011,7.178232,1.978922,2.280222,9.41834,3.563947,1.786071,13.05987,3.679566,10.07261,3.621675,10.7248,3.73871,7.336273,12.51868,154.6292,0,0
2012,7.189333,2.03299,2.278021,9.41759,3.55435,1.803461,13.16057,3.647728,10.10736,3.628256,10.7214,3.727839,7.335017,12.51834,154.6453,0,0
2013,7.191427,2.06273,2.275736,9.413587,3.546572,1.81645,13.09098,3.598649,10.11054,3.629057,10.79517,3.726696,7.33391,12.52094,154.6566,0,0
2014,7.178957,2.067175,2.268228,9.409785,3.544978,1.829824,13.14631,3.5567,10.11923,3.595561,10.74169,3.705339,7.332617,12.52471,154.6697,0,0
2015,7.170009,2.065878,2.271973,9.408904,3.54638,1.844414,12.92443,3.575294,10.14011,3.588284,10.73157,3.702771,7.331194,12.52852,154.6868,0,0
2016,7.173832,2.072217,2.314591,9.405643,3.52717,1.858636,13.18561,3.581559,10.14466,3.577595,10.76171,3.715663,7.329777,12.53189,154.7041,0,0
2017,7.147039,2.072443,2.330801,9.399018,3.509849,1.869183,13.2478,3.649155,10.14435,3.576172,10.77308,3.718879,7.328669,12.53308,154.7157,0,0
