EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
39,0.004114378,,0.00152153,,0.005239453,,0.5278984,,0.05651038,,3.254539E-05,,0.006576041,,0.08242874,,0.001226173,,0.0009776081,,0.0007313461,,
40,0.004114497,,0.001534525,,0.00527484,,0.5262105,,0.05581352,,3.259999E-05,,0.006489695,,0.08350027,,0.001226683,,0.001108331,,0.0007733787,,
41,0.00411462,,0.001547468,,0.005310141,,0.524618,,0.05519611,,3.262849E-05,,0.006414731,,0.08461417,,0.001228256,,0.001239935,,0.000816096,,
42,0.004114748,0.00411,0.001560391,0.000479,0.005345447,0.00103,0.5231368,0.347,0.05465823,0.0855,3.262336E-05,2.61E-05,0.006349387,0.00469,0.08577973,0.0827,0.001230527,0.001310334,0.001368112,0.001223094,0.0008585551,0.003214977,
43,0.004114879,,0.001573328,,0.005380841,,0.5217683,,0.05420059,,3.257563E-05,,0.006292182,,0.08700608,,0.001233358,,0.001487708,,0.0008995906,,
44,0.004115013,,0.001586304,,0.005416407,,0.5205148,,0.05382463,,3.247575E-05,,0.006241888,,0.08830202,,0.001236617,,0.001592673,,0.0009378532,,
45,0.004115149,,0.001599345,,0.005452231,,0.5193793,,0.05353275,,3.231415E-05,,0.006197485,,0.08967594,,0.001240185,,0.001675911,,0.0009718536,,
46,0.004115285,,0.001612475,,0.005488394,,0.5183645,,0.05332784,,3.20818E-05,,0.00615814,,0.09113567,,0.001243952,,0.00172966,,0.001000011,,
47,0.004115421,,0.001625716,,0.005524986,,0.5174735,,0.0532132,,3.177055E-05,,0.006123177,,0.09268847,,0.001247824,,0.001745572,,0.001020699,,
48,0.004115555,,0.001639089,,0.005562094,,0.5167084,,0.05319257,,3.137326E-05,,0.006092057,,0.09434095,,0.001251715,,0.001714592,,0.001032294,,
49,0.005335485,,0.0009024637,,0.001446565,,0.3506136,,0.02854343,,3.647174E-05,,0.004640127,,0.08337399,,0.001197284,,0.002135061,,0.0004009418,,
50,0.005335733,,0.0009113487,,0.001472679,,0.3522896,,0.02936386,,3.61592E-05,,0.004660129,,0.08517287,,0.001202627,,0.002065511,,0.0004059196,,
51,0.005335982,,0.0009204043,,0.001499495,,0.3538227,,0.0301535,,3.58818E-05,,0.004674993,,0.08700667,,0.00120845,,0.001999381,,0.0004106262,,
52,0.005336231,,0.0009296294,,0.001527013,,0.355247,,0.03091332,,3.56291E-05,,0.004685386,,0.08887087,,0.001214605,,0.001936516,,0.0004151289,,
53,0.005336481,,0.0009390227,,0.001555231,,0.3565888,,0.03164394,,3.539697E-05,,0.004691856,,0.09076051,,0.001220998,,0.001877209,,0.0004195043,,
54,0.00533673,0.00533,0.0009485832,0.000574,0.00158415,0.00197,0.3578682,0.347,0.03234576,0.0403,3.518492E-05,8.06E-05,0.004694866,0.00273,0.09267047,0.0979,0.001227575,0.001148249,0.001822141,0.00270596,0.0004238301,0.001496372,
55,0.005336978,,0.0009583091,,0.001613774,,0.3590997,,0.03301898,,3.499442E-05,,0.004694804,,0.09459554,,0.001234306,,0.001772409,,0.0004281837,,
56,0.005337226,,0.0009681986,,0.001644103,,0.3602927,,0.03366379,,3.482774E-05,,0.004691993,,0.09653056,,0.001241182,,0.001729215,,0.0004326415,,
57,0.005337472,,0.0009782497,,0.001675143,,0.3614531,,0.03428026,,3.468739E-05,,0.004686698,,0.09847048,,0.001248203,,0.001694067,,0.0004372771,,
58,0.005337716,,0.0009884594,,0.001706893,,0.362583,,0.03486843,,3.45758E-05,,0.004679128,,0.1004105,,0.001255374,,0.001668618,,0.0004421599,,
59,0.005337957,,0.0009988239,,0.001739357,,0.3636815,,0.03542829,,3.449527E-05,,0.004669435,,0.1023461,,0.001262705,,0.001654602,,0.000447353,,
60,0.005338196,,0.001009339,,0.001772534,,0.3647458,,0.03595985,,3.444838E-05,,0.004657714,,0.1042731,,0.001270209,,0.001653765,,0.0004529114,,
61,0.01657228,,0.0005087604,,0.001066662,,0.4275564,,0.042477,,9.594493E-05,,0.002218395,,0.08175765,,0.000958106,,0.000985701,,0.0001979645,,
