EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
287,0.006027902,,0.008849497,,0.04005047,,0.1673861,,0.03443302,,1.804154E-06,,0.0009583668,,0.1198027,,7.984925E-05,,0.0003212701,,0.0006776885,,
288,0.006027863,,0.008820867,,0.0398527,,0.1675093,,0.03432692,,1.814519E-06,,0.0009612956,,0.1194704,,7.984973E-05,,0.0003192377,,0.000675071,,
289,0.005608478,,0.01003518,,0.04543353,,0.1595349,,0.03232733,,4.06735E-07,,0.0009915017,,0.1685946,,0.0001170243,,0.0002351756,,6.538419E-05,,
290,0.005608286,,0.009987163,,0.04505043,,0.1596905,,0.03227415,,4.084638E-07,,0.0009940666,,0.1663976,,0.000117039,,0.0002346453,,6.532416E-05,,
291,0.005608106,,0.009937836,,0.04466771,,0.1598402,,0.03221812,,4.099619E-07,,0.0009966232,,0.1643033,,0.0001170607,,0.0002340191,,6.528808E-05,,
292,0.005607939,,0.009887466,,0.04428621,,0.1599849,,0.03215949,,4.112772E-07,,0.0009991641,,0.1623112,,0.0001170901,,0.0002333112,,6.526468E-05,,
293,0.005607782,,0.009836299,,0.04390672,,0.1601253,,0.03209847,,4.12445E-07,,0.001001683,,0.1604211,,0.0001171281,,0.0002325305,,6.523748E-05,,
294,0.005607637,0.00561,0.009784563,0.00437,0.04352999,0.0283,0.1602623,0.183,0.03203526,0.039,4.13495E-07,4.83E-07,0.001004173,0.000172,0.1586323,0.107,0.000117176,0.0001533842,0.0002316814,0.000307397,6.518592E-05,0.0003429803,
295,0.005607501,,0.009732464,,0.04315671,,0.1603962,,0.03197005,,4.144543E-07,,0.001006631,,0.1569441,,0.0001172353,,0.0002307658,,6.50864E-05,,
296,0.005607374,,0.009680201,,0.04278753,,0.1605278,,0.03190299,,4.153488E-07,,0.001009052,,0.1553552,,0.0001173075,,0.0002297842,,6.491342E-05,,
297,0.005607254,,0.00962795,,0.04242308,,0.1606576,,0.03183423,,4.162019E-07,,0.001011435,,0.1538642,,0.0001173939,,0.0002287376,,6.464078E-05,,
298,0.005607141,,0.009575872,,0.04206394,,0.1607862,,0.03176387,,4.17034E-07,,0.001013779,,0.1524695,,0.0001174954,,0.0002276285,,6.424262E-05,,
299,0.005607034,,0.009524124,,0.04171064,,0.160914,,0.03169201,,4.178601E-07,,0.001016086,,0.1511693,,0.0001176129,,0.0002264612,,6.369439E-05,,
300,0.00560693,,0.00947285,,0.04136366,,0.1610418,,0.03161871,,4.186874E-07,,0.00101836,,0.1499612,,0.0001177468,,0.0002252417,,6.297357E-05,,
301,0.005586983,,0.008196939,,0.03203675,,0.1924579,,0.03677011,,7.924115E-07,,0.0003908047,,0.07825679,,0.0001379441,,0.0004658795,,0,,
302,0.005587116,,0.008166567,,0.03197228,,0.192409,,0.03652558,,7.941462E-07,,0.0003950745,,0.07899388,,0.0001381215,,0.0004579019,,0,,
303,0.005587245,,0.008138103,,0.03191715,,0.192382,,0.03628785,,7.959875E-07,,0.0003990859,,0.07971053,,0.0001383093,,0.0004508703,,0,,
304,0.005587369,,0.008111438,,0.03187086,,0.1923747,,0.03605665,,7.979767E-07,,0.0004028652,,0.08040313,,0.0001385049,,0.0004446907,,0,,
305,0.005587488,,0.00808646,,0.03183288,,0.1923857,,0.0358317,,8.001875E-07,,0.000406435,,0.08106835,,0.0001387045,,0.0004392935,,0,,
306,0.005587603,0.00559,0.008063045,0.00421,0.03180267,0.031,0.1924138,0.225,0.03561275,0.0436,8.027184E-07,7.92E-07,0.0004098142,7.16E-05,0.08170325,0.0794,0.0001389037,0.0003651192,0.0004346275,0.000657007,0,,
307,0.005587714,,0.008041073,,0.03177962,,0.1924582,,0.0353995,,8.056829E-07,,0.0004130189,,0.08230525,,0.0001390978,,0.0004306534,,0,,
308,0.005587821,,0.008020409,,0.03176314,,0.192518,,0.03519172,,8.091993E-07,,0.0004160621,,0.08287217,,0.0001392824,,0.0004273381,,0,,
309,0.005587924,,0.008000921,,0.03175258,,0.1925927,,0.03498915,,8.133808E-07,,0.0004189545,,0.08340226,,0.0001394537,,0.0004246506,,0,,
310,0.005588026,,0.007982474,,0.03174731,,0.1926815,,0.03479159,,8.183268E-07,,0.0004217045,,0.08389418,,0.0001396085,,0.0004225588,,0,,
311,0.005588126,,0.007964931,,0.03174671,,0.1927839,,0.03459885,,8.241166E-07,,0.0004243184,,0.08434698,,0.0001397444,,0.0004210272,,0,,
312,0.005588224,,0.007948153,,0.03175018,,0.1928993,,0.03441077,,8.308039E-07,,0.000426801,,0.08476009,,0.0001398595,,0.0004200166,,0,,
313,0.009766874,,0.009745143,,0.0327734,,0.1290095,,0.02936864,,7.477183E-07,,0.0002202508,,0.09226235,,0.000107462,,0.0005457755,,0.0004923809,,
314,0.009767083,,0.009706961,,0.03276785,,0.129373,,0.02934403,,7.522775E-07,,0.0002220657,,0.09252208,,0.0001075667,,0.0005401628,,0.0004956563,,
315,0.009767288,,0.009669058,,0.03276708,,0.1297128,,0.02931848,,7.563704E-07,,0.0002238174,,0.09276649,,0.0001076739,,0.0005349486,,0.0004989817,,
316,0.009767488,,0.009631319,,0.03277029,,0.1300326,,0.02929183,,7.60103E-07,,0.0002255083,,0.09299826,,0.0001077832,,0.0005301892,,0.000502312,,
317,0.009767682,,0.009593653,,0.03277679,,0.1303353,,0.02926394,,7.635701E-07,,0.0002271404,,0.09322006,,0.0001078958,,0.0005259647,,0.0005056016,,
318,0.009767873,0.00978,0.00955599,0.00369,0.03278602,0.029,0.1306232,0.227,0.02923473,0.0366,7.668645E-07,7.52E-07,0.0002287155,4.05E-05,0.09343441,0.0854,0.0001080134,0.0002200952,0.0005223691,0.000778234,0.0005088121,0.0005296564,
319,0.009768061,,0.009518273,,0.03279749,,0.1308978,,0.02920416,,7.700797E-07,,0.0002302352,,0.09364367,,0.0001081381,,0.0005194981,,0.0005119119,,
320,0.009768248,,0.009480475,,0.0328108,,0.1311606,,0.02917221,,7.733084E-07,,0.000231701,,0.09384998,,0.0001082718,,0.0005174371,,0.0005148761,,
321,0.009768431,,0.009442581,,0.03282565,,0.1314124,,0.0291389,,7.766363E-07,,0.0002331143,,0.09405521,,0.0001084159,,0.0005162542,,0.0005176861,,
322,0.009768613,,0.009404579,,0.03284173,,0.1316538,,0.02910425,,7.801364E-07,,0.0002344767,,0.09426104,,0.0001085713,,0.0005159947,,0.0005203293,,
323,0.009768793,,0.009366466,,0.03285883,,0.1318851,,0.02906831,,7.838639E-07,,0.0002357897,,0.09446881,,0.0001087381,,0.0005166781,,0.000522799,,
324,0.009768972,,0.009328243,,0.03287677,,0.1321066,,0.02903112,,7.87849E-07,,0.0002370549,,0.09467968,,0.0001089163,,0.0005182995,,0.0005250942,,
325,0.01088482,,0.00758679,,0.03103757,,0.1470725,,0.02557816,,1.782193E-06,,0.0007308056,,0.1003936,,7.822322E-05,,0.0007330316,,0.000113427,,
326,0.01088501,,0.00757122,,0.03108748,,0.1472445,,0.02561943,,1.789809E-06,,0.0007302747,,0.1005128,,7.829035E-05,,0.0007251162,,0.0001140042,,
327,0.01088521,,0.007556395,,0.03113551,,0.1474183,,0.0256559,,1.796942E-06,,0.0007299561,,0.100642,,7.833369E-05,,0.0007181494,,0.0001145406,,
328,0.0108854,,0.007542393,,0.03118162,,0.1475915,,0.02568775,,1.80353E-06,,0.0007298168,,0.1007817,,7.835685E-05,,0.0007121436,,0.0001150377,,
329,0.01088559,,0.007529285,,0.0312258,,0.1477624,,0.02571516,,1.809463E-06,,0.0007298287,,0.1009323,,7.836283E-05,,0.0007071825,,0.0001154959,,
330,0.01088579,0.0109,0.007517135,0.00432,0.03126802,0.0279,0.1479293,0.226,0.02573831,0.0311,1.814609E-06,1.08E-06,0.0007299684,0.00016,0.1010938,0.0871,7.835419E-05,8.923241E-05,0.0007033857,0.0007858107,0.0001159138,0.000434096,
331,0.01088598,,0.007505997,,0.03130826,,0.1480912,,0.02575736,,1.818827E-06,,0.0007302166,,0.1012664,,7.833325E-05,,0.0007008776,,0.0001162882,,
332,0.01088618,,0.007495913,,0.0313465,,0.1482473,,0.0257725,,1.821981E-06,,0.0007305576,,0.1014499,,7.830212E-05,,0.0006997632,,0.0001166147,,
333,0.01088637,,0.007486912,,0.03138275,,0.148397,,0.02578391,,1.823951E-06,,0.0007309786,,0.101644,,7.826277E-05,,0.0007001088,,0.000116888,,
334,0.01088657,,0.007479013,,0.03141699,,0.1485399,,0.02579174,,1.824643E-06,,0.0007314699,,0.1018486,,7.821705E-05,,0.0007019335,,0.0001171025,,
335,0.01088676,,0.007472239,,0.03144925,,0.1486759,,0.02579618,,1.823985E-06,,0.0007320244,,0.1020632,,7.816669E-05,,0.0007052063,,0.0001172523,,
336,0.01088696,,0.007466598,,0.03147952,,0.148805,,0.02579738,,1.821932E-06,,0.0007326376,,0.1022875,,7.811334E-05,,0.0007098519,,0.0001173314,,
337,0.007407886,,0.00791106,,0.03661317,,0.1400399,,0.02180348,,4.65691E-07,,0.0006603333,,0.09452765,,6.416289E-05,,0.0006615614,,0.001779768,,
338,0.007407975,,0.007904574,,0.03653375,,0.1401865,,0.02187939,,4.657433E-07,,0.0006614046,,0.09488427,,6.413303E-05,,0.0006671034,,0.001770613,,
339,0.007408063,,0.007899739,,0.03645563,,0.1403229,,0.02195198,,4.659278E-07,,0.0006624171,,0.09523234,,6.411108E-05,,0.0006719339,,0.001761707,,
340,0.007408148,,0.007896488,,0.03637855,,0.1404501,,0.02202144,,4.66213E-07,,0.0006633796,,0.09557018,,6.409788E-05,,0.0006761701,,0.001753207,,
341,0.007408231,,0.007894752,,0.03630225,,0.1405693,,0.02208798,,4.66575E-07,,0.0006642997,,0.09589624,,6.40944E-05,,0.0006799379,,0.001745347,,
342,0.007408312,0.00741,0.007894462,0.00455,0.03622654,0.0323,0.1406813,0.168,0.02215179,0.0262,4.66994E-07,4.02E-07,0.0006651845,8.45E-05,0.09620919,0.1,6.410161E-05,7.660679E-05,0.0006833612,0.001039088,0.001738421,0.0009778272,
343,0.00740839,,0.007895548,,0.03615122,,0.1407869,,0.02221307,,4.674519E-07,,0.0006660401,,0.09650781,,6.412043E-05,,0.0006865532,,0.001732768,,
344,0.007408468,,0.007897942,,0.03607612,,0.140887,,0.02227204,,4.679327E-07,,0.0006668717,,0.09679111,,6.415157E-05,,0.0006896076,,0.001728751,,
345,0.007408543,,0.007901578,,0.03600109,,0.1409825,,0.0223289,,4.684226E-07,,0.0006676834,,0.09705829,,6.419546E-05,,0.0006925945,,0.001726745,,
346,0.007408618,,0.007906393,,0.03592599,,0.1410743,,0.02238387,,4.689119E-07,,0.0006684787,,0.09730871,,6.425222E-05,,0.0006955572,,0.001727115,,
347,0.007408693,,0.007912326,,0.0358507,,0.1411631,,0.02243717,,4.693958E-07,,0.0006692594,,0.09754193,,6.432154E-05,,0.0006985138,,0.001730206,,
348,0.007408767,,0.007919316,,0.03577511,,0.1412498,,0.02248902,,4.698761E-07,,0.0006700266,,0.09775766,,6.440258E-05,,0.000701461,,0.00173633,,
349,0.01078893,,0.007955862,,0.03647869,,0.1649617,,0.01938034,,5.039844E-07,,0.0003785435,,0.09716612,,8.774161E-05,,0.0007895211,,0.0008339082,,
350,0.01078914,,0.007965529,,0.03637952,,0.1649394,,0.01947412,,5.043417E-07,,0.0003802237,,0.09739119,,8.785907E-05,,0.0007883405,,0.0008397055,,
351,0.01078935,,0.007976457,,0.03627912,,0.1649315,,0.01956519,,5.046475E-07,,0.0003817966,,0.0976159,,8.797787E-05,,0.0007873639,,0.0008455163,,
352,0.01078956,,0.007988581,,0.03617777,,0.1649366,,0.01965375,,5.049306E-07,,0.0003832717,,0.09784175,,8.809612E-05,,0.0007866039,,0.0008512839,,
353,0.01078976,,0.008001812,,0.03607573,,0.1649537,,0.01973998,,5.05224E-07,,0.0003846567,,0.09807018,,8.821198E-05,,0.0007861128,,0.000856934,,
354,0.01078996,0.0108,0.008016065,0.00499,0.03597322,0.0228,0.164982,0.173,0.01982401,0.0193,5.055623E-07,3.21E-07,0.0003859587,4.73E-05,0.09830254,0.0944,8.832369E-05,0.0001049291,0.0007859684,0.00107589,0.000862381,0.0005866963,
355,0.01079016,,0.008031268,,0.03587048,,0.1650205,,0.01990597,,5.059808E-07,,0.000387183,,0.09854005,,8.842965E-05,,0.0007862573,,0.0008675313,,
356,0.01079036,,0.008047356,,0.03576769,,0.1650686,,0.01998596,,5.065128E-07,,0.0003883346,,0.09878376,,8.852854E-05,,0.0007870588,,0.000872288,,
357,0.01079056,,0.00806427,,0.03566502,,0.1651257,,0.02006408,,5.071876E-07,,0.0003894172,,0.09903465,,8.861939E-05,,0.0007884328,,0.0008765539,,
358,0.01079076,,0.008081954,,0.03556263,,0.1651912,,0.0201404,,5.080291E-07,,0.0003904343,,0.09929347,,8.870159E-05,,0.0007904144,,0.0008802359,,
359,0.01079095,,0.008100361,,0.03546068,,0.1652646,,0.02021497,,5.090546E-07,,0.0003913885,,0.09956083,,8.87749E-05,,0.0007930133,,0.0008832483,,
360,0.01079114,,0.008119445,,0.0353593,,0.1653455,,0.02028784,,5.102744E-07,,0.0003922819,,0.09983722,,8.88394E-05,,0.0007962164,,0.000885515,,
361,0.008727687,,0.00859109,,0.03698873,,0.1836565,,0.0283281,,2.244457E-06,,0.0005595485,,0.0971375,,0.0001080388,,0.0004054678,,8.147133E-05,,
362,0.008727822,,0.008607203,,0.03684019,,0.1836465,,0.02824657,,2.247702E-06,,0.0005596944,,0.09748076,,0.0001081361,,0.0004165105,,8.187878E-05,,
363,0.008727957,,0.008623475,,0.03669262,,0.183653,,0.02817192,,2.250512E-06,,0.000559875,,0.09783288,,0.000108241,,0.0004266671,,8.227561E-05,,
364,0.008728093,,0.008639918,,0.03654617,,0.1836745,,0.02810412,,2.252934E-06,,0.0005600834,,0.09819365,,0.0001083505,,0.0004358792,,8.266215E-05,,
365,0.008728229,,0.008656538,,0.03640101,,0.1837101,,0.02804316,,2.254983E-06,,0.0005603137,,0.09856281,,0.0001084614,,0.0004440382,,8.303778E-05,,
366,0.008728365,0.00873,0.008673342,0.00589,0.03625721,0.0178,0.1837586,0.189,0.027989,0.025,2.256663E-06,2.85E-06,0.0005605605,9.4E-05,0.09894005,0.0813,0.0001085699,0.0002832233,0.0004510034,0.0008529185,8.340077E-05,2.422345E-05,
367,0.008728502,,0.008690338,,0.03611484,,0.1838193,,0.02794163,,2.25797E-06,,0.0005608191,,0.09932504,,0.0001086725,,0.0004566241,,8.374844E-05,,
368,0.008728639,,0.008707535,,0.03597393,,0.1838911,,0.02790098,,2.258901E-06,,0.0005610854,,0.09971739,,0.000108766,,0.0004607594,,8.407743E-05,,
369,0.008728776,,0.008724962,,0.03583449,,0.1839733,,0.02786704,,2.259448E-06,,0.0005613558,,0.1001168,,0.0001088475,,0.0004632921,,8.438394E-05,,
370,0.008728912,,0.008742654,,0.03569651,,0.1840649,,0.02783976,,2.259597E-06,,0.0005616278,,0.1005228,,0.0001089147,,0.0004641356,,8.466394E-05,,
371,0.008729048,,0.00876062,,0.03555994,,0.1841648,,0.02781913,,2.25933E-06,,0.0005618991,,0.100935,,0.0001089657,,0.0004632347,,8.491339E-05,,
372,0.008729183,,0.008778876,,0.03542475,,0.1842722,,0.02780515,,2.258615E-06,,0.0005621685,,0.1013532,,0.0001089994,,0.0004605622,,8.51284E-05,,
373,0.012188,,0.009533348,,0.04439749,,0.1234837,,0.02001539,,7.771503E-07,,0.0004173676,,0.1134047,,7.700422E-05,,0.0008914376,,0.0006353701,,
374,0.01218819,,0.009545421,,0.04396205,,0.1238029,,0.02013754,,7.772754E-07,,0.000418226,,0.1136306,,7.702506E-05,,0.00086784,,0.0006359512,,
375,0.01218838,,0.009557412,,0.04353935,,0.1241024,,0.02025726,,7.774408E-07,,0.0004190286,,0.1138662,,7.704353E-05,,0.0008474518,,0.0006366028,,
376,0.01218858,,0.009569355,,0.04312886,,0.1243846,,0.02037458,,7.776421E-07,,0.0004197804,,0.1141107,,7.70603E-05,,0.0008299435,,0.000637323,,
377,0.01218878,,0.009581277,,0.0427301,,0.1246517,,0.02048953,,7.778829E-07,,0.0004204859,,0.1143632,,7.707706E-05,,0.0008151414,,0.0006381071,,
378,0.01218898,0.0122,0.009593193,0.00578,0.04234269,0.0217,0.1249051,0.187,0.02060207,0.0194,7.781715E-07,7.01E-07,0.0004211492,7.76E-05,0.1146232,0.0675,7.709605E-05,0.000159697,0.000802986,0.0008583304,0.000638949,4.289106E-05,
379,0.01218918,,0.009605107,,0.04196631,,0.1251459,,0.02071219,,7.785196E-07,,0.0004217741,,0.1148898,,7.711975E-05,,0.0007934911,,0.0006398414,,
380,0.01218939,,0.009617016,,0.04160069,,0.1253751,,0.02081981,,7.789417E-07,,0.0004223638,,0.1151626,,7.715046E-05,,0.0007866977,,0.0006407765,,
381,0.01218959,,0.009628907,,0.04124562,,0.1255932,,0.02092488,,7.794532E-07,,0.0004229215,,0.1154409,,7.719023E-05,,0.0007826448,,0.0006417463,,
382,0.01218979,,0.009640762,,0.04090089,,0.1258008,,0.0210273,,7.800704E-07,,0.0004234497,,0.1157243,,7.724064E-05,,0.0007813477,,0.0006427434,,
383,0.01218999,,0.009652559,,0.04056636,,0.1259981,,0.02112699,,7.808096E-07,,0.0004239508,,0.1160123,,7.73029E-05,,0.0007827858,,0.0006437607,,
384,0.0121902,,0.00966427,,0.04024188,,0.1261855,,0.0212238,,7.816869E-07,,0.0004244269,,0.1163047,,7.737783E-05,,0.0007868962,,0.0006447924,,
385,0.01109443,,0.009483933,,0.03290922,,0.1134873,,0.04244627,,8.943629E-07,,0.000495786,,0.1280634,,4.731821E-05,,0.000956341,,0.001030243,,
386,0.0110945,,0.009494907,,0.0328299,,0.1136992,,0.04192548,,8.952681E-07,,0.0004959522,,0.1281161,,4.734118E-05,,0.0009505969,,0.00103094,,
387,0.01109457,,0.009504872,,0.03275212,,0.1139041,,0.04142806,,8.962257E-07,,0.000496145,,0.1281724,,4.735829E-05,,0.0009460717,,0.001031812,,
388,0.01109464,,0.009513939,,0.0326759,,0.1141017,,0.04095242,,8.972326E-07,,0.0004963612,,0.1282324,,4.737219E-05,,0.0009425943,,0.001032836,,
389,0.01109471,,0.009522208,,0.03260131,,0.114292,,0.04049717,,8.982835E-07,,0.0004965984,,0.1282964,,4.738522E-05,,0.0009399754,,0.00103398,,
390,0.01109478,0.0111,0.009529778,0.00409,0.03252842,0.023,0.114475,0.175,0.04006105,0.0377,8.993713E-07,9.09E-07,0.000496855,0.00012,0.1283646,0.05,4.739943E-05,3.156404E-05,0.0009380119,0.0007879755,0.00103521,0.0001540819,
391,0.01109485,,0.009536738,,0.03245733,,0.1146509,,0.03964299,,9.004852E-07,,0.0004971307,,0.1284373,,4.74165E-05,,0.0009364868,,0.001036485,,
392,0.01109492,,0.009543172,,0.03238815,,0.11482,,0.03924202,,9.016111E-07,,0.0004974253,,0.1285148,,4.743779E-05,,0.0009351867,,0.001037764,,
393,0.011095,,0.009549159,,0.032321,,0.1149827,,0.03885732,,9.027316E-07,,0.0004977395,,0.1285972,,4.746427E-05,,0.0009339037,,0.001039,,
394,0.01109507,,0.009554767,,0.03225601,,0.1151394,,0.03848816,,9.038266E-07,,0.0004980741,,0.1286847,,4.749645E-05,,0.0009324309,,0.001040147,,
395,0.01109514,,0.00956006,,0.03219331,,0.1152906,,0.03813392,,9.048735E-07,,0.0004984302,,0.1287778,,4.753452E-05,,0.000930561,,0.00104116,,
396,0.01109522,,0.009565095,,0.03213304,,0.1154368,,0.0377941,,9.058478E-07,,0.000498809,,0.1288764,,4.757827E-05,,0.0009280861,,0.001041992,,
