EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad","biomass (observed) AM adult nad","biomass (predicted) AM adult mad","biomass (observed) AM adult mad","biomass (predicted) AM adult sad","biomass (observed) AM adult sad","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
22,0.01038891,,0.03944819,,0.03944819,,0.02369393,,0.02369393,,0.3208763,,2.04852,,2.04852,,2.04852,,0.2739074,,0.002134593,,0.1191325,,0.1191325,,0.001253613,,0.01237685,,0.01237685,,0.1930986,,0.1930986,,
23,0.01050384,,0.0396195,,0.0396195,,0.02399979,,0.02399979,,0.3210123,,2.062085,,2.062085,,2.062085,,0.2741562,,0.002113358,,0.1153142,,0.1153142,,0.001252703,,0.01236577,,0.01236577,,0.1965172,,0.1965172,,
24,0.01062405,,0.03979385,,0.03979385,,0.02430756,,0.02430756,,0.3211896,,2.074843,,2.074843,,2.074843,,0.2744112,,0.002083936,,0.1118078,,0.1118078,,0.001250658,,0.01235935,,0.01235935,,0.2001482,,0.2001482,,
25,0.01075154,,0.04007569,,0.04007569,,0.02477524,,0.02477524,,0.3210762,,2.074935,,2.074935,,2.074935,,0.2746637,,0.001853122,,0.108233,,0.108233,,0.001249489,,0.01241978,,0.01241978,,0.205048,,0.205048,,
26,0.01088461,,0.04035238,,0.04035238,,0.02524298,,0.02524298,,0.3207645,,2.075634,,2.075634,,2.075634,,0.2749229,,0.001664693,,0.104901,,0.104901,,0.001249408,,0.0124751,,0.0124751,,0.2099772,,0.2099772,,
27,0.01102427,,0.04062493,,0.04062493,,0.02571133,,0.02571133,,0.3203124,,2.076716,,2.076716,,2.076716,,0.2751891,,0.001510681,,0.1017991,,0.1017991,,0.001250109,,0.01252648,,0.01252648,,0.2149169,,0.2149169,,
28,0.01117093,,0.04089452,,0.04089452,,0.02618062,,0.02618062,,0.3197632,,2.077999,,2.077999,,2.077999,,0.2754622,,0.001385061,,0.09891339,,0.09891339,,0.001251423,,0.01257481,,0.01257481,,0.219847,,0.219847,,
29,0.01132487,,0.04116219,,0.04116219,,0.02665107,,0.02665107,,0.3191492,,2.079342,,2.079342,,2.079342,,0.2757423,,0.001283331,,0.09622978,,0.09622978,,0.001253274,,0.0126208,,0.0126208,,0.2247473,,0.2247473,,
30,0.01148631,0.02923511,0.04142882,0.02795366,0.04142882,0.01121089,0.02712284,0.02782334,0.02712284,0.01560844,0.3184911,0.2913723,2.080638,,2.080638,4.71318,2.080638,,0.2760293,0.3215233,0.00120235,0.004711927,0.09373418,0.1533561,0.09373418,,0.00125564,0.0003126359,0.01266498,0.01381827,0.01266498,,0.2295986,0.244364,0.2295986,,
31,0.01165546,,0.04169521,,0.04169521,,0.02759603,,0.02759603,,0.317686,,2.081926,,2.081926,,2.081926,,0.2763234,,0.001139911,,0.09141272,,0.09141272,,0.00125853,,0.01270779,,0.01270779,,0.2343822,,0.2343822,,
