EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
139,3.246541,3.995268,4.079926,2.589023,2.677344,3.813466,3.863009,4.092841,3.406964,3.453895,3.357515,3.356922,3.060424,2.175618,2.378491,1,1
140,3.245931,3.995806,4.079663,2.588893,2.678249,3.813158,3.863142,4.091895,3.404795,3.450988,3.357435,3.356837,3.060441,2.175602,2.378503,1,1
141,3.245352,3.996289,4.079353,2.588788,2.679188,3.812815,3.863198,4.090996,3.402706,3.448157,3.357357,3.356756,3.060459,2.175585,2.378516,1,1
142,3.244802,3.996715,4.078991,2.588708,2.680151,3.812438,3.863158,4.09014,3.400691,3.445403,3.35728,3.356678,3.060475,2.175569,2.378528,1,1
143,3.244283,3.997083,4.078572,2.588654,2.681131,3.812029,3.86301,4.089322,3.39875,3.442725,3.357204,3.356606,3.060492,2.175555,2.378541,1,1
144,3.243792,3.997392,4.07809,2.588623,2.682121,3.811586,3.862751,4.088539,3.396878,3.440122,3.35713,3.356536,3.060509,2.175541,2.378552,1,1
145,3.243242,3.997537,4.077742,2.588615,2.683112,3.810765,3.862345,4.087829,3.395072,3.437523,3.357049,3.356462,3.060525,2.175528,2.378564,1,1
146,3.242753,3.997609,4.077567,2.58863,2.684554,3.809909,3.861932,4.087929,3.393382,3.434807,3.356979,3.356394,3.060542,2.175517,2.378576,1,1
147,3.242302,3.997622,4.077277,2.588671,2.685961,3.809026,3.861527,4.087962,3.391754,3.432185,3.356911,3.35633,3.06056,2.175507,2.378589,1,1
148,3.241883,3.997576,4.076874,2.588732,2.687323,3.808116,3.861144,4.087925,3.390184,3.429653,3.356844,3.356268,3.060578,2.175498,2.378601,1,1
149,3.241495,3.997472,4.076361,2.588809,2.688636,3.807178,3.8608,4.087814,3.388668,3.427209,3.356779,3.356209,3.060596,2.175491,2.378614,1,1
150,3.241134,3.997314,4.075744,2.588899,2.689892,3.806215,3.86051,4.087629,3.387207,3.42485,3.356716,3.356152,3.060614,2.175485,2.378626,1,1
151,3.240796,3.997102,4.075022,2.588997,2.691089,3.805226,3.86029,4.087365,3.385797,3.422574,3.356654,3.356097,3.060632,2.175479,2.378638,1,1
152,3.240479,3.99684,4.074203,2.5891,2.692221,3.804213,3.860151,4.087019,3.38444,3.420377,3.356595,3.356045,3.06065,2.175475,2.378651,1,1
153,3.24018,3.996528,4.073291,2.589205,2.693287,3.803177,3.860101,4.086592,3.383135,3.418258,3.356536,3.355994,3.060668,2.175472,2.378663,1,1
154,3.239896,3.99617,4.072289,2.589309,2.694283,3.802119,3.860144,4.08608,3.381878,3.416213,3.356479,3.355945,3.060685,2.17547,2.378674,1,1
155,3.239625,3.995768,4.071203,2.589411,2.69521,3.801042,3.860279,4.085482,3.380672,3.414239,3.356423,3.355899,3.060703,2.175468,2.378686,1,1
156,3.239365,3.995324,4.070036,2.58951,2.696065,3.799945,3.860502,4.084796,3.379513,3.412334,3.356369,3.355854,3.06072,2.175467,2.378697,1,1
157,3.239076,3.995013,4.069108,2.589603,2.696852,3.799086,3.860798,4.0845,3.3784,3.410474,3.356325,3.355822,3.060738,2.175467,2.378709,1,1
158,3.238819,3.994694,4.068597,2.589699,2.697801,3.798228,3.860033,4.083418,3.377275,3.408477,3.356272,3.355787,3.060754,2.175467,2.37872,1,1
159,3.23858,3.994349,4.067995,2.589798,2.698687,3.797361,3.859222,4.082195,3.376179,3.406555,3.356221,3.355753,3.06077,2.175468,2.37873,1,1
160,3.238357,3.993978,4.067308,2.589897,2.699509,3.796485,3.85836,4.08084,3.375114,3.404706,3.356171,3.355718,3.060785,2.175469,2.37874,1,1
161,3.238146,3.993584,4.066545,2.589991,2.700267,3.795601,3.857458,4.079358,3.374084,3.402923,3.356122,3.355683,3.0608,2.175471,2.37875,1,1
162,3.237945,3.99317,4.065713,2.590077,2.700964,3.794708,3.856536,4.077754,3.373091,3.401205,3.356074,3.355648,3.060814,2.175473,2.378759,1,1
163,3.237751,3.992738,4.064819,2.59015,2.701602,3.793804,3.855614,4.076031,3.372137,3.399546,3.356028,3.355613,3.060829,2.175476,2.378768,1,1
164,3.23756,3.992289,4.063872,2.590209,2.702185,3.792889,3.85471,4.074194,3.371225,3.397942,3.355983,3.355577,3.060843,2.17548,2.378778,1,1
165,3.237371,3.991824,4.062878,2.59025,2.702715,3.791962,3.853835,4.072249,3.370353,3.39639,3.35594,3.355541,3.060858,2.175485,2.378787,1,1
