EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
60,1.146844,0.5747164,0.203639,1.734809,1.420229,0.3201049,1.824322,0.8687755,1.398069,1.473768,1.26229,0.7468015,2.274985,2.442846,45.9334,186.3624,0
61,1.147189,0.5650452,0.1857277,1.738369,1.453322,0.360543,1.478021,0.937762,1.472562,1.235827,1.254828,0.6857272,2.280671,2.443083,45.93489,186.3603,0
62,1.147515,0.5651662,0.1857048,1.742586,1.45317,0.3605992,1.508142,0.9379212,1.483124,1.239246,1.260776,0.6902015,2.288639,2.443429,45.93666,186.358,0
63,1.147771,0.5652863,0.1856901,1.746394,1.453156,0.3606506,1.536164,0.9380859,1.49289,1.242327,1.26671,0.6946819,2.296405,2.443765,45.93813,186.3557,0
64,1.14798,0.5654043,0.1856777,1.749848,1.453256,0.3606971,1.562892,0.9382723,1.501557,1.245128,1.272646,0.6991599,2.304004,2.444092,45.93936,186.3532,0
65,1.148157,0.5655205,0.1856676,1.752995,1.453451,0.3607388,1.589133,0.9384728,1.509067,1.247697,1.278565,0.7036294,2.311451,2.444411,45.94042,186.3508,0
66,1.148312,0.5656349,0.18566,1.755867,1.453727,0.3607758,1.615533,0.9386802,1.515625,1.250071,1.284434,0.7080863,2.318739,2.444725,45.94132,186.3484,0
67,1.148457,0.5657477,0.185655,1.758483,1.454072,0.360808,1.642397,0.9388894,1.521682,1.252282,1.290227,0.7125271,2.32585,2.445034,45.94209,186.3461,0
68,1.148599,0.5658585,0.1856526,1.760856,1.454477,0.3608356,1.669615,0.9391,1.527877,1.254355,1.295926,0.7169491,2.332755,2.445341,45.94275,186.3439,0
69,1.14875,0.5659673,0.1856528,1.763,1.454935,0.3608586,1.697063,0.9393111,1.534966,1.25631,1.30152,0.7213501,2.339432,2.445646,45.9433,186.3418,0
70,1.148917,0.5660743,0.1856555,1.764924,1.455438,0.360877,1.72494,0.9395174,1.543737,1.258161,1.307003,0.7257279,2.345866,2.445951,45.94376,186.3398,0
71,1.149106,0.5661793,0.1856607,1.766637,1.45598,0.360891,1.752874,0.9397224,1.554934,1.259921,1.312379,0.7300809,2.352039,2.446255,45.94414,186.3378,0
72,1.14933,0.5662825,0.1856682,1.768146,1.456555,0.3609005,1.780955,0.9399244,1.569186,1.2616,1.317651,0.7344074,2.357952,2.44656,45.94444,186.336,0
73,1.150514,0.5698602,0.1916423,1.768711,1.418965,0.3506887,2.29583,0.9718137,1.537107,1.411642,1.318582,0.7201989,2.363607,2.446866,45.94467,186.3342,0
74,1.151345,0.5697471,0.1916374,1.768734,1.420097,0.3506451,2.287335,0.9721944,1.5635,1.410757,1.325138,0.724484,2.366904,2.447205,45.94541,186.3327,0
75,1.152257,0.5696394,0.1916324,1.768636,1.421154,0.3505981,2.282326,0.9725428,1.588453,1.410061,1.331539,0.728728,2.370372,2.447542,45.94606,186.3313,0
76,1.153231,0.5695409,0.1916296,1.768384,1.422151,0.350548,2.279682,0.9728702,1.612069,1.409514,1.337778,0.7329349,2.373929,2.447877,45.94665,186.3298,0
77,1.154265,0.5694507,0.191629,1.76796,1.423096,0.3504948,2.278457,0.9731814,1.634118,1.409086,1.343848,0.7371078,2.377534,2.44821,45.94718,186.3284,0
78,1.155357,0.5693688,0.19163,1.767365,1.423997,0.3504387,2.27797,0.9734799,1.654189,1.408751,1.349738,0.7412487,2.381171,2.448541,45.9477,186.3269,0
79,1.15651,0.5692945,0.1916326,1.766623,1.424856,0.3503796,2.277807,0.9737682,1.671814,1.40849,1.355443,0.7453599,2.384837,2.44887,45.9482,186.3254,0
80,1.157726,0.5692272,0.1916363,1.765772,1.425676,0.3503177,2.277877,0.9740484,1.686571,1.408282,1.360958,0.749443,2.38854,2.449197,45.9487,186.3238,0
81,1.15901,0.5691665,0.1916411,1.764864,1.426457,0.350253,2.278354,0.9743208,1.698148,1.408111,1.366283,0.7534989,2.392284,2.449522,45.94922,186.3222,0
82,1.160364,0.569112,0.1916469,1.763956,1.427199,0.3501857,2.279511,0.9745861,1.706385,1.40796,1.371422,0.7575287,2.396066,2.449845,45.94975,186.3206,0
83,1.161787,0.5690637,0.1916535,1.763107,1.427902,0.3501158,2.281661,0.9748448,1.711285,1.407811,1.376379,0.7615331,2.399878,2.450167,45.95032,186.3189,0
84,1.16328,0.5690209,0.1916608,1.762369,1.428565,0.3500433,2.285111,0.9750975,1.713004,1.407647,1.38116,0.7655126,2.403701,2.450486,45.95092,186.3172,0
85,1.164881,0.5695223,0.2006623,1.761414,1.355676,0.3651689,2.024863,0.955443,1.687545,1.387199,1.382858,0.7749789,2.407507,2.450804,45.95149,186.3155,0
