0,1,2,3,4,5,6
1.89,1.37,1.08,0.94,0.86,0.81,0.77
1.75,1.25,0.97,0.84,0.77,0.72,0.69
1.68,1.25,1,0.88,0.81,0.77,0.74
1.75,1.29,1.03,0.9,0.83,0.78,0.75
1.68,1.22,0.97,0.84,0.77,0.73,0.7
1.68,1.22,0.97,0.84,0.77,0.73,0.7
1.68,1.22,0.97,0.84,0.77,0.73,0.7
1.76,1.28,1,0.87,0.8,0.75,0.72
1.71,1.24,0.98,0.85,0.78,0.74,0.71
1.58,1.23,1.02,0.91,0.85,0.81,0.79
1.66,1.24,0.99,0.87,0.81,0.76,0.73
1.79,1.3,1.02,0.89,0.81,0.77,0.73
1.75,1.34,1.1,0.98,0.91,0.87,0.84
1.8,1.36,1.1,0.97,0.9,0.85,0.82
1.7,1.23,0.97,0.84,0.77,0.72,0.69
1.65,1.22,0.97,0.85,0.78,0.74,0.71
1.74,1.29,1.03,0.9,0.83,0.78,0.75
1.81,1.32,1.04,0.91,0.83,0.79,0.75
1.61,1.21,0.98,0.86,0.8,0.76,0.73
1.68,1.31,1.09,0.97,0.91,0.87,0.84
1.65,1.25,1.01,0.9,0.83,0.79,0.76
1.55,1.21,1,0.9,0.84,0.8,0.78
1.55,1.21,1,0.9,0.84,0.8,0.78
1.6,1.23,1.01,0.9,0.84,0.8,0.77
1.74,1.28,1.02,0.89,0.82,0.78,0.75
1.71,1.34,1.11,1,0.93,0.89,0.86
1.81,1.3,1.01,0.88,0.8,0.75,0.72
1.83,1.32,1.03,0.89,0.81,0.76,0.73
1.87,1.35,1.06,0.92,0.85,0.8,0.76
1.75,1.33,1.08,0.96,0.89,0.84,0.81
1.86,1.36,1.08,0.94,0.86,0.81,0.78
1.82,1.35,1.08,0.95,0.88,0.83,0.8
1.82,1.35,1.08,0.95,0.88,0.83,0.8
1.82,1.35,1.08,0.95,0.88,0.83,0.8
1.75,1.29,1.03,0.91,0.84,0.79,0.76
1.8,1.35,1.09,0.96,0.89,0.84,0.81
1.75,1.35,1.11,0.99,0.92,0.88,0.85
1.74,1.3,1.04,0.92,0.85,0.8,0.77
1.68,1.27,1.03,0.91,0.85,0.8,0.77
1.81,1.35,1.09,0.96,0.89,0.84,0.81
1.79,1.36,1.1,0.97,0.9,0.86,0.83
1.83,1.35,1.07,0.94,0.86,0.81,0.78
1.8,1.29,1.01,0.87,0.79,0.75,0.71
1.8,1.29,1.01,0.87,0.79,0.75,0.71
1.77,1.31,1.04,0.91,0.84,0.8,0.76
1.61,1.24,1.03,0.92,0.86,0.82,0.79
1.76,1.28,1.02,0.89,0.81,0.77,0.73
1.77,1.28,1.01,0.87,0.8,0.75,0.72
1.77,1.27,0.99,0.85,0.78,0.73,0.7
1.76,1.29,1.02,0.88,0.81,0.76,0.73
1.71,1.33,1.1,0.99,0.92,0.88,0.85
1.73,1.31,1.06,0.94,0.87,0.83,0.8
1.66,1.24,1,0.88,0.82,0.77,0.74
1.66,1.3,1.08,0.97,0.9,0.86,0.84
1.72,1.25,0.99,0.86,0.79,0.74,0.71
1.72,1.25,0.99,0.86,0.79,0.74,0.71
1.72,1.25,0.99,0.86,0.79,0.74,0.71
1.72,1.27,1.01,0.89,0.82,0.77,0.74
1.63,1.22,0.98,0.86,0.8,0.76,0.73
1.63,1.22,0.98,0.86,0.8,0.76,0.73
1.87,1.33,1.04,0.9,0.82,0.77,0.74
1.63,1.25,1.03,0.92,0.85,0.81,0.78
1.72,1.34,1.12,1,0.94,0.89,0.86
1.72,1.34,1.12,1,0.94,0.89,0.86
1.71,1.27,1.01,0.89,0.82,0.77,0.74
1.69,1.28,1.03,0.92,0.85,0.8,0.77
1.7,1.26,1,0.88,0.81,0.77,0.74
1.65,1.23,0.99,0.87,0.81,0.76,0.73
1.65,1.23,0.99,0.87,0.81,0.76,0.73
1.78,1.31,1.04,0.91,0.83,0.79,0.75
1.55,1.21,1,0.9,0.84,0.8,0.78
1.54,1.2,0.99,0.89,0.83,0.79,0.77
1.73,1.33,1.09,0.97,0.9,0.86,0.83
1.77,1.33,1.08,0.95,0.88,0.84,0.81
1.64,1.25,1.02,0.9,0.84,0.8,0.77
1.71,1.33,1.1,0.99,0.92,0.88,0.85
1.67,1.3,1.08,0.97,0.9,0.86,0.83
1.69,1.32,1.1,0.99,0.92,0.88,0.85
1.66,1.27,1.04,0.93,0.86,0.82,0.79
1.66,1.27,1.04,0.93,0.86,0.82,0.79
1.71,1.27,1.01,0.89,0.82,0.77,0.74
1.64,1.25,1.02,0.9,0.84,0.79,0.77
1.82,1.34,1.06,0.93,0.85,0.81,0.77
1.63,1.26,1.04,0.93,0.87,0.83,0.8
1.68,1.3,1.07,0.95,0.88,0.84,0.81
1.73,1.24,0.96,0.83,0.76,0.71,0.68
1.73,1.24,0.96,0.83,0.76,0.71,0.68
1.85,1.35,1.06,0.93,0.85,0.8,0.77
1.72,1.24,0.98,0.85,0.78,0.73,0.7
1.88,1.35,1.05,0.91,0.83,0.78,0.74
1.89,1.35,1.05,0.91,0.83,0.78,0.74
1.83,1.33,1.05,0.91,0.83,0.79,0.75
1.83,1.33,1.05,0.91,0.83,0.79,0.75
1.75,1.27,1,0.87,0.79,0.75,0.72
1.6,1.21,0.98,0.87,0.81,0.76,0.74
