SSB2017,R0
3391462,120.0542
3323862,82.24917
2201756,97.09811
2115331,82.68115
3078197,98.1979
3692291,114.2048
3692871,97.36565
3692871,97.36565
3901537,150.7467
3314815,82.19032
3650312,145.1409
2148322,81.46336
2035318,104.989
3351643,119.8555
3402717,107.3937
3257125,104.0797
3257125,104.0797
2134822,75.53835
2398965,118.9437
2880203,97.09818
4045804,121.9041
2657898,87.40438
2889202,81.11979
2911075,74.77204
3340113,130.2228
2148933,92.57359
2727449,105.4924
4423626,149.4395
4423626,149.4395
3848097,133.7862
2657363,87.48012
3201578,75.06485
3620946,92.22908
2309869,100.1422
2769982,72.30584
3779333,134.5556
3355959,76.86905
2846740,126.3426
2846740,126.3426
2416603,84.79716
2401458,113.8802
3061573,107.4957
2571100,79.45659
2700784,90.79574
2506270,74.64676
3871731,103.2827
3125031,97.36567
2016885,92.69126
3282707,108.7579
3212844,88.83109
3930495,108.258
2850473,112.0036
2883615,101.3337
2880325,88.11896
3121657,111.537
3379178,117.2457
3755456,97.37658
3095845,102.1546
3084212,77.02772
3859303,78.61993
8449788,289.8195
1996072,75.78485
4259270,104.583
2130418,73.24025
2511051,84.05892
2506146,125.8079
2522984,110.5078
3426830,87.08561
3319791,134.667
3319791,134.667
2795616,73.67461
2795616,73.67461
2333429,93.02222
3645776,119.8555
2909887,130.376
3483370,114.96
3635715,93.38919
2635468,78.49389
2635468,78.49389
4667857,230.2691
2305064,101.5884
3243297,95.14189
6928524,222.6737
2213203,125.8251
2232366,102.1298
2232366,102.1298
6733030,223.779
3009886,74.30387
2495242,117.7377
1956023,82.36104
8866418,295.5123
2912808,76.78401
2174786,75.84555
3520619,77.69529
2174235,95.73819
2337703,82.02975
3172867,84.28963
7715774,220.625
2887910,85.89417
2111233,80.67543
3706556,160.1396
2671862,86.37374
2503753,93.54966
3751886,117.8568
3311516,110.5078
2091256,74.39486
2091256,74.39486
3405602,91.54945
3228658,127.3494
5215745,243.5407
3365377,135.2305
3365377,135.2305
3645096,105.0147
3940475,148.6457
3940475,148.6457
3447951,96.67898
2509068,118.4096
2125599,76.82492
3311423,69.74589
2209401,75.83937
3648975,145.7715
4612712,170.6082
3280969,83.941
3280969,83.941
3703336,120.8314
