EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 3:51:16 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
1.071428,0.008415417,0.03615805,0.01848,0.2799653,0.9353678,0.7249127,0.2992323,0.1014277,0.0356904,0.02532949,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.085714,0.008415417,0.03615805,0.01848,0.2796937,0.934551,0.7234669,0.2981257,0.1008848,0.03542994,0.02514613,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.1,0.008415417,0.03615805,0.01848,0.2794141,0.9337168,0.7220124,0.2970175,0.100342,0.03516983,0.02496275,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.114285,0.008415417,0.03615805,0.01848,0.2791263,0.9328654,0.7205487,0.2959074,0.09979943,0.03491004,0.02477932,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.128571,0.008415417,0.03615805,0.01848,0.2788303,0.9319948,0.7190747,0.2947948,0.09925681,0.03465049,0.0245957,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.142857,0.008415417,0.03615805,0.01848,0.2785256,0.9311056,0.717591,0.2936802,0.09871427,0.03439124,0.02441198,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.157143,0.008415417,0.03615805,0.01848,0.2782129,0.930199,0.7160982,0.2925637,0.09817193,0.03413239,0.0242283,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.171428,0.008415417,0.03615805,0.01848,0.2778924,0.9292752,0.7145968,0.2914457,0.09762991,0.03387398,0.02404467,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.185714,0.008415417,0.03615805,0.01848,0.2775634,0.9283335,0.7130865,0.290326,0.09708815,0.03361598,0.0238611,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.2,0.008415417,0.03615805,0.01848,0.2772265,0.9273742,0.7115667,0.2892044,0.09654663,0.03335843,0.0236776,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
