EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 3:49:26 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.4571419,4.255889E-06,0.001127158,0.01286019,0.00245297,0.03081382,0.08045838,0.02340733,0.01842169,0.004392261,0.00228329,0.005485237,0.0002782608,0.01573155,1.459529E-05,0.001572537,0.003427235,0.09609348,0,0,0,0,0
0.4714276,4.234366E-06,0.001124911,0.0127954,0.002530033,0.03177113,0.08285361,0.02406552,0.01891282,0.004503102,0.002341249,0.005487986,0.0002784946,0.01574399,1.461844E-05,0.001574448,0.003436621,0.09638352,0,0,0,0,0
0.4857133,4.213002E-06,0.001122678,0.0127311,0.002607055,0.0327276,0.08524071,0.02471916,0.01939885,0.00461235,0.002398379,0.00549074,0.000278727,0.01575631,1.46415E-05,0.001576348,0.003446003,0.09667353,0,0,0,0,0
0.499999,4.191807E-06,0.001120461,0.01266734,0.002684031,0.03368317,0.08761967,0.02536821,0.01987975,0.004720004,0.002454678,0.005493493,0.0002789579,0.01576854,1.466442E-05,0.001578233,0.00345538,0.09696344,0,0,0,0,0
0.5142847,4.170762E-06,0.001118257,0.01260404,0.002760954,0.03463781,0.0899904,0.02601269,0.02035556,0.004826073,0.00251015,0.005496248,0.0002791873,0.01578064,1.468726E-05,0.001580107,0.003464748,0.09725315,0,0,0,0,0
0.5285705,4.149888E-06,0.001116069,0.01254129,0.002837818,0.03559144,0.09235275,0.02665256,0.02082626,0.00493055,0.002564788,0.005499005,0.0002794148,0.01579262,1.470998E-05,0.001581967,0.003474113,0.09754289,0,0,0,0,0
0.5428562,4.129168E-06,0.001113895,0.01247901,0.002914619,0.03654405,0.09470665,0.0272878,0.02129183,0.005033438,0.002618597,0.005501764,0.0002796412,0.0158045,1.473258E-05,0.001583813,0.003483485,0.09783288,0,0,0,0,0
0.557142,4.10861E-06,0.001111735,0.01241723,0.002991348,0.03749556,0.09705214,0.02791847,0.02175233,0.005134745,0.002671576,0.005504524,0.0002798657,0.01581627,1.475507E-05,0.001585647,0.003492843,0.09812259,0,0,0,0,0
0.5714277,4.088255E-06,0.001109594,0.01235602,0.003067999,0.03844591,0.09938888,0.02854445,0.02220768,0.005234458,0.002723712,0.005507277,0.0002800878,0.01582784,1.47774E-05,0.001587463,0.003502162,0.09841116,0,0,0,0,0
0.5857134,4.068096E-06,0.001107472,0.01229535,0.003144566,0.0393951,0.101717,0.02916579,0.02265792,0.005332584,0.002775014,0.005510028,0.0002803082,0.01583932,1.479957E-05,0.001589262,0.00351147,0.09869941,0,0,0,0,0
