Timestep,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus,
86,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
87,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
88,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
89,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
90,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
91,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
92,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
93,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
94,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
95,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
96,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
97,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
98,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
99,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
100,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
101,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
102,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
103,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
104,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
105,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
106,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
107,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
108,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
109,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
110,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
111,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
112,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
113,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
114,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
115,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
116,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
117,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
118,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
119,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
120,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
121,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
122,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
123,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
124,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
125,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
126,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
127,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
128,-9999,-9999,-9999,0.01929656,0.04262585,0.1486765,0.1042291,0.2424774,0.1664599,0.1931392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
