Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
March,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
April,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
May,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
June,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
July,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
August,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
September,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
October,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
November,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
December,0.00018823,0.0987844,0.1442665,0.002414426,0.03822352,0.241879784,0.274655322,0.191103029,0.127317555,0.046179932,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0
1987,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
February,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
March,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
April,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
May,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
June,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
July,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
August,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
September,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
October,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
November,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
December,0.00018823,0.0665535,0.06589811,0.003063653,0.048617428,0.314919464,0.349834921,0.243682761,0.17383415,0.065785504,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0
1988,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
February,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
March,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
April,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
May,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
June,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
July,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
August,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
September,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
October,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
November,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
December,0.00018823,0.03442877,0.1711593,0.003950942,0.064146623,0.413947241,0.442993929,0.298224313,0.198851706,0.074439883,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0
1989,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
February,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
March,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
April,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
May,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
June,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
July,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
August,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
September,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
October,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
November,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
December,0.00018823,0.01877306,0.04373693,0.0037644,0.060904711,0.434133001,0.533323776,0.394570722,0.293808486,0.108571938,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0
1990,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
February,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
March,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
April,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
May,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
June,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
July,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
August,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
September,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
October,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
November,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
December,0.00018823,0.009358025,0.02578593,0.002826328,0.045282834,0.352505,0.49188106,0.390055195,0.305446259,0.110979563,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0
1991,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
February,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
March,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
April,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
May,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
June,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
July,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
August,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
September,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
October,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
November,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
December,0.00018823,0.01292474,0.03179315,0.003050237,0.048217116,0.329102342,0.404797469,0.298202298,0.217621731,0.07964779,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0
1992,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
February,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
March,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
April,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
May,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
June,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
July,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
August,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
September,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
October,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
November,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
December,0.00018823,0.01347257,0.04084716,0.001750645,0.028072798,0.211890224,0.303336258,0.240907573,0.177670275,0.062215869,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0
1993,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
February,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
March,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
April,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
May,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
June,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
July,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
August,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
September,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
October,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
November,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
December,0.00018823,0.02629584,0.05770249,0.001940259,0.030421903,0.187692666,0.212553133,0.14672045,0.094970014,0.033969988,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0
1994,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
February,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
March,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
April,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
May,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
June,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
July,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
August,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
September,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
October,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
November,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
December,0.00018823,0.03510695,0.08081331,0.001895403,0.029856041,0.173158529,0.184138122,0.120025464,0.059159041,0.012916612,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0
1995,0.00018823,0.03994861,0.1034025,0.002173212,0.034709343,0.224508552,0.280264208,0.206204047,0.110123475,0.01492912,0.01893923,0.2263803,0.328009,0.00976695,0.1016585,0.02012837,0.248686,0,0,0,0,0
