Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,
1989,1.0421,0.2425458,0.03286986,0.2077203,0.02624057,0.95,0,0,0,0,0,0,0,0,0,0,0,463.9,2.153377,1.315,0,0.8,0.177,0,15.96,0,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0.00533,0.000574,0.00197,0.0847539,0.1286274,0.07458661,0.03909473,0.01742983,0.002986915,0.0403,8.06E-05,0.00273,0.0979,0.00673,0.0025,0.00202,
1990,1.1092,0.2631093,0.1049685,0.326897,0.07094811,0.55,0.11628,0.78546,0.171,0,0.00684,0,0,0,0,0,0,939.3,1.309067,1.223,0,0.797,0.164,0,15.722,0,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0.0166,0.0011,0.00339,0.04758841,0.2806679,0.0590819,0.0200084,0.01219478,0.004182115,0.0452,6.59E-05,0.0014,0.0934,0.0076,0.00135,0.000788,
1991,0.709,0.3913315,0.08414288,0.3906256,0.06811233,0.8,0.29498,0.13416,0,0,0,0,0,0,0,0,0,547.4,1.403284,1.178,0,0.954,0.211,157.52,23.329,0,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0.0138,0.00164,0.00502,0.06835943,0.1796649,0.1313839,0.0146213,0.004585242,0.002765114,0.0404,6.67E-05,0.00286,0.104,0.0121,0.00131,0.000294,
1992,0.6992,0.8030465,0.13713,0.9643513,0.09897524,0.52,0.3322,0.7392,0.0154,0,0.0022,0,0,0,0,0,0,735.9,0.5706691,0.928,0,1.338,0.139,191.03,63.487,0,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0.018,0.00225,0.00757,0.05795778,0.1697517,0.06731799,0.03116549,0.003982298,0.001562154,0.0355,2.64E-05,0.00255,0.125,0.0031,0.000205,3.58E-05,
1993,0.8363,0.7166907,0.1307647,0.9183396,0.1318646,0.27,0.0198,0.7425,0.1404,0,0,0,0,0,0,0,0,566.3,0.2791988,0.74,0,0.902,0.212,387.58,18.895,0,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0.0222,0.00207,0.00675,0.03622047,0.2096818,0.08228867,0.01370678,0.00550231,0.000828459,0.0325,1.12E-05,0.000874,0.108,0.0049,0.00058,0.000102,
1994,2.3365,0.89865,0.1718924,1.319089,0.1422427,0.3,0.3933,0.20631,0.07866,0,0,0,0,0,0,0,0,514.8,0.568708,0.888,0,1.199,0.338,466.96,15.35,0,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0.0208,0.00303,0.00989,0.0385211,0.133593,0.09540255,0.02242725,0.002571834,0.000519013,0.0334,8.5E-06,0.00122,0.0858,0.00302,0.000511,0.000114,
1995,1.2902,1.95425,0.3997882,1.773644,0.2591903,0.29,0.00234,0.45279,0.27378,0.43992,0,0,0,0,0,0,0,460.9,0.435895,0.859,0,1.041,0.513,584.09,78.437,0,0.03994861,0.1034025,0.002173212,0.03223452,0.2107295,0.2650202,0.1977306,0.1067505,0.01459865,0.2263803,0.328009,0.00976695,0.1016585,0.02012837,0.248686,0.0236,0.00423,0.0187,0.05536883,0.1581742,0.1072056,0.0472564,0.01018794,0.000597515,0.0252,1.01E-05,0.00109,0.121,0.00192,0.000403,0.00311,
1996,1.0718,1.62459,0.4171786,2.107564,0.2892329,0.24,0,0.105,0.5955,0.04575,0,0,0,0,0,0,0,768.5,0.6813975,0.965,0,2.019,0.595,1526.77,42.185,0,0.03949698,0.07879242,0.001864101,0.02752895,0.1721247,0.2023159,0.1440447,0.07568175,0.01252079,0.4042769,0.3540276,0.02762281,0.1680804,0.005855177,0.2205091,0.0278,0.00597,0.0252,0.02333309,0.1976971,0.07009039,0.0267088,0.008186844,0.00088803,0.0276,2.1E-05,0.00211,0.133,0.00112,0.000575,0.000415,
1997,2.922,2.637964,0.4665062,2.202851,0.3409274,0.24,0.0016,0.196,0.1768,0.0224,0.0016,0,0,0,0,0,0,515.5,1.381498,1.117,0,1.714,0.558,431.13,41.441,0,0.05271429,0.1038311,0.002574938,0.03780697,0.2174656,0.2167932,0.1348738,0.0653229,0.0173316,0.3988457,0.4262896,0.05969375,0.2300168,0.02097537,0.2272151,0.0191,0.00871,0.0206,0.02530458,0.1240076,0.1177372,0.02157502,0.00598491,0.0015367,0.0337,2.46E-05,0.00357,0.144,0.00251,0.000417,0.000542,
1998,1.0768,2.633219,0.679471,2.326192,0.414636,0.49,0.01947,0.0066,0.06996,0.22011,0,0,0,0,0,0,0,355.2,0.7265272,0.945,0,1.386,0.472,475.07,23.194,0,0.05298124,0.1827416,0.003264684,0.04799607,0.2716722,0.260004,0.1552451,0.07278749,0.02220456,0.2023691,0.3602186,0.02838778,0.2933052,0.000604607,0.2206548,0.0223,0.00792,0.0194,0.03391346,0.1238408,0.07054224,0.03659395,0.005661868,0.002137576,0.0309,1.15E-05,0.0035,0.129,0.0114,0.000303,2.5E-05,
1999,1.4971,2.464576,0.6193287,2.244294,0.5252259,0.66,0.32472,0.3465,0.7524,0.52272,0,0,0,0,0,0,0,480.4,1.859608,1.284,0,1.537,0.339,471,15.151,0,0.06192694,0.2359768,0.002107632,0.03168291,0.1863802,0.191211,0.1208304,0.05675057,0.01559992,0.3115952,0.268096,0.03244264,0.3868135,0.001387948,0.2346732,0.0176,0.0059,0.0197,0.05590659,0.08316008,0.04135975,0.01478165,0.006124056,0.001322541,0.0245,1.53E-05,0.00425,0.129,0.0036,0.000902,0.000129,
2000,1.2757,2.004244,0.4786974,2.11724,0.4021007,0.59,0.07462,0.1001,0.46956,0.22477,0.01638,0,0,0,0,0,0,355.4,0.6558685,1.298,0,1.897,0.389,987.29,23.215,0,0.08235468,0.1984857,0.001160163,0.0177736,0.1235136,0.1708928,0.1326461,0.07012838,0.008918097,0.1740721,0.3215143,0.004042512,0.4673418,0.003593457,0.2030004,0.0124,0.00639,0.0226,0.02357006,0.1193521,0.03903703,0.01331097,0.004148722,0.000843528,0.033,9.53E-07,0.00357,0.126,0.000968,0.000313,0.000101,
2001,1.697,1.44719,0.3520814,1.75884,0.2691714,0.34,0.0884,0.12415,0.12805,0.16445,0.00065,0,0,0,0,0,0,305.4,1.084092,1.493,5.28,0.997,0.269,570.58,28.417,0,0.0772429,0.2121276,0.00184743,0.02759498,0.1691309,0.1854839,0.1261075,0.06475739,0.01295057,0.2969859,0.378698,0.006022104,0.3196989,0.002718311,0.245634,0.00682,0.00583,0.0231,0.02402406,0.1341849,0.0891225,0.01418901,0.003100134,0.000979354,0.0406,2.9E-06,0.00309,0.141,0.00423,0.000617,0.000101,
2002,2.2179,1.342562,0.4889889,1.616921,0.4526319,0.48,0.29328,0.20904,0.54444,0.4134,0.0312,0.00936,0,0,0,0,0,472.1,0.579687,1.185,4.3,0.733,0.216,426.82,86.831,0,0.06312741,0.1968699,0.001621318,0.02465178,0.1524529,0.1661537,0.1121415,0.05645014,0.01214907,0.1518931,0.2413061,0.002178447,0.3862866,0.03316197,0.2208456,0.00646,0.00429,0.0281,0.03411827,0.08388108,0.06136388,0.02607004,0.003206342,0.000693492,0.0244,1.45E-06,0.00238,0.103,0.00274,0.000246,0.0024,
2003,0.7064,1.404631,0.5684612,1.490931,0.3970776,0.89,0.04608,0.0288,0.31872,0.08688,0,0,0,0,0,0,0,469.1,0.4675043,1.275,4.79,1.282,0.121,379.75,38.582,0,0.07321984,0.2166509,0.001776728,0.02674861,0.1543853,0.1460351,0.08666745,0.04008641,0.01307778,0.1085899,0.2863042,0.001314453,0.2611557,0.009029814,0.2544549,0.00316,0.00507,0.0293,0.03195978,0.1077479,0.03736742,0.0145495,0.00479495,0.000795513,0.0292,1.02E-06,0.0014,0.111,0.0031,0.000204,0.000745,
2004,2.3143,1.14416,0.3050092,1.004124,0.265099,0.69,0.06344,0.04212,0.2548,0.15496,0.00416,0,0,0,0,0,0,225,0.9298995,1.444,5.2,0.898,0.209,333.14,45.726,0,0.08523287,0.2019347,0.001770819,0.02685771,0.1662246,0.1831354,0.124368,0.06265177,0.01318565,0.2115469,0.3165513,0.0055428,0.1350662,0.01315784,0.2664765,0.00378,0.00565,0.0302,0.02550693,0.1144229,0.05366027,0.01397469,0.00497831,0.001278581,0.0344,1.76E-06,0.000687,0.115,0.00149,0.000264,0.000531,
2005,1.4939,1.554976,0.8166146,1.240979,0.5081565,0.87,0.01265,0.2392,0.7383,0.15065,0.0046,0,0,0,0,0,0,441.9,1.16425,1.322,6.38,1.127,0.189,101.69,29.245,0,0.08212727,0.2169061,0.000494813,0.02664917,0.1878184,0.1778348,0.1267474,0.0695279,0.02445824,0.271277,0.2790761,0.002201558,0.1709187,0.00297347,0.2676202,0.00379,0.00703,0.0285,0.01830916,0.09635344,0.05632986,0.01534053,0.003511276,0.001882176,0.0353,9.840001E-07,0.000601,0.107,0.001,0.0011,7.87E-05,
2006,1.5467,1.74688,0.4241038,1.35212,0.2812585,0.3,0.0592,0.2504,0.4336,0.0552,0,0,0,0,0,0,0,830.8,1.100019,1.418,6.07,0.663,0.139,436.05,31.629,0,0.09098608,0.2353027,0.000356987,0.01921272,0.1643851,0.2250199,0.1910699,0.1108975,0.01721452,0.2837068,0.297488,0.002082726,0.2273953,0.1325165,0.3051332,0.00479,0.00734,0.0315,0.02901851,0.0709911,0.05304249,0.0261129,0.005809216,0.000981763,0.033,7.7E-07,0.000643,0.11,0.000835,0.000835,0.00723,
2007,0.8906,1.093735,0.6524079,0.9292151,0.4751254,0.49,0.0288,0.7152,0.4212,0.03,0,0,0,0,0,0,0,478.6,0.9870082,1.308,8.45,1.039,0.065,194.37,25.763,0,0.09784313,0.260464,0.000345386,0.01850724,0.1454308,0.1904286,0.1552624,0.08434251,0.01728757,0.2136858,0.3217904,0.002508703,0.2822385,0.02065576,0.3163479,0.006,0.00553,0.025,0.02964466,0.1262488,0.03958522,0.01641686,0.005094514,0.000785142,0.0358,1.61E-06,0.000764,0.112,0.000624,0.000612,0.000313,
2008,1.353,0.9114408,0.3108601,0.8565688,0.2348149,0.34,0.15295,0.5909,0.18335,0.0057,0,0,0,0,0,0,0,657.4,1.284304,1.288,6.72,0.758,0.081,148.11,25.647,0,0.09307849,0.2607867,0.000245519,0.01329505,0.1092612,0.1549051,0.1291586,0.06956937,0.0126838,0.176471,0.3155697,0.003836518,0.1789235,0.0288445,0.3065359,0.00603,0.00686,0.0265,0.01388602,0.09753968,0.06145553,0.01218385,0.003519871,0.000694694,0.0387,1.88E-06,0.000304,0.0901,0.000738,0.000662,0.00106,
2009,0.8286,0.5887133,0.3586015,0.8395572,0.2709973,0.26,0.04428,0.14514,0.18327,0.00615,0,0,0,0,0,0,0,557.9,0.5032577,1.149,6.33,0.71,0.035,185.93,0,114.094,0.1063816,0.2998267,0.000359799,0.01919631,0.1375157,0.1467707,0.1100546,0.05913639,0.01771716,0.1302311,0.297648,0.000855681,0.1840684,0.002797555,0.4384798,0.00561,0.00437,0.0283,0.02611244,0.07426434,0.05995686,0.01923867,0.002640641,0.000972324,0.039,4.83E-07,0.000172,0.107,0.000899,0.000284,0.000463,
2010,1.0397,0.5300414,0.1991576,0.7755962,0.1965214,0.41,0.08624,0.55968,0.22704,0.00704,0,0,0,0,0,0,0,532.7,0.7930844,1.202,5.69,0.94,0.076,317.92,0,58.725,0.09241658,0.2327316,0.000421009,0.02219149,0.1626588,0.19487,0.1529754,0.08181322,0.02046571,0.2745941,0.3485083,0.001616137,0.06981389,0,0.2266148,0.00559,0.00421,0.031,0.0316799,0.1132609,0.04557053,0.02679249,0.00649323,0.00090147,0.0436,7.92E-07,7.16E-05,0.0794,0.00214,0.000607,0,
2011,1.1114,0.4295771,0.1905833,0.5969068,0.2411584,0.32,0.44528,0.13708,0.28796,0.0092,0,0,0,0,0,0,0,712.6,0.6079325,1.282,5.88,0.621,0.07,554.7,0,75.593,0.1137592,0.2403182,0.000323184,0.01717174,0.1327355,0.1840073,0.1505124,0.07842529,0.0163982,0.3607219,0.2976856,0.001444466,0.03571984,0.02315651,0.2459309,0.00978,0.00369,0.029,0.04692223,0.09674361,0.06127319,0.01463799,0.006040501,0.000946872,0.0366,7.52E-07,4.05E-05,0.0854,0.00129,0.000719,0.000715,
2012,2.7426,0.5496148,0.2038257,0.6189499,0.1543582,0.14,0.22606,0.95586,0.58206,0.01424,0,0,0,0,0,0,0,1116,0.7014705,1.357,4.06,0.585,0.099,230.1,0,70.484,0.09272111,0.226489,0.000231826,0.01244832,0.09773768,0.1446419,0.1191992,0.05995144,0.01234731,0.5163862,0.2618054,0.003252691,0.1102371,0.004974755,0.2604871,0.0109,0.00432,0.0279,0.01984166,0.1368012,0.04642762,0.01917976,0.002591382,0.000804028,0.0311,1.08E-06,0.00016,0.0871,0.000523,0.000726,0.000586,
2013,0.4985,1.132829,0.372398,1.091403,0.2895798,0.2,0.07068,0.3441,0.1798,0.01984,0,0,0.33397,0.34307,0.19474,0.01365,0.00091,782.3,1.079907,1.245,5.72,1.056,0.061,190.96,0,76.726,0.09834218,0.2640274,0.000190534,0.01055921,0.08982344,0.121763,0.07303665,0.02100618,0.004622983,0.4766334,0.2204682,0.000831624,0.09918614,0.0758561,0.2398002,0.00741,0.00455,0.0323,0.01255667,0.06553813,0.07782613,0.01032183,0.001762436,0.000235142,0.0262,4.02E-07,8.45E-05,0.1,0.000449,0.00096,0.00132,
2014,1.1633,0.970911,0.2850245,0.8003216,0.185914,0.4,0.08262,0.91692,0.56862,0.0405,0.00648,0,0.17901,0.65484,0.51867,0.17442,0.00153,0,0.8205044,1.322,4.44,1.07,0.069,104.62,0,97.729,0.09869326,0.2699433,0.000259244,0.01447087,0.1240518,0.1701833,0.1020176,0.02909858,0.006467676,0.5374373,0.1890455,0.000891222,0.0557707,0.03618021,0.2377926,0.0108,0.00499,0.0228,0.01720493,0.06960387,0.05511026,0.02902323,0.001929638,0.000523104,0.0193,3.21E-07,4.73E-05,0.0944,0.000615,0.000994,0.000792,
2015,1.3322,0.8391373,0.1154168,0.7991629,0.08849418,0.38,0.04194,1.52848,0.74793,0.00233,0,0,0.86922,0.792,0.2772,0.01188,0.00198,465.1,0.7221603,1.13,2.77,0.522,0.082,268.13,0,81.185,0.1042313,0.2835286,0.000315015,0.01751037,0.1518549,0.2174096,0.1295411,0.03545948,0.007657224,0.2656345,0.2647868,0.00391347,0.07953631,0.003311629,0.230566,0.00873,0.00589,0.0178,0.02259361,0.09396116,0.04911814,0.01831294,0.004685491,0.000453481,0.025,2.85E-06,9.4E-05,0.0813,0.00166,0.000788,3.27E-05,
2016,1.8347,0.898472,0.1982103,0.7801397,0.1258602,0.51,0.5772,0.51792,0.09984,0,0,0,0.31749,0.16758,0.05586,0.00627,0,766.8,0.7211776,1.27,4.17,0.982,0.155,436.79,0,322.657,0.1130439,0.3589694,0.000222482,0.01246045,0.1262931,0.2096772,0.123328,0.03232222,0.006801429,0.5299085,0.1894206,0.001346438,0.0589195,0.024697,0.2574918,0.0122,0.00578,0.0217,0.0307357,0.08294153,0.05914958,0.01099587,0.002154995,0.000641149,0.0194,7.01E-07,7.76E-05,0.0675,0.000936,0.000793,5.79E-05,
2017,0.7487,1.551376,0.2160776,1.460195,0.1386731,0.11,0.0285,0.40275,0.3075,0.0045,0,0,0.26312,0.1104,0.05566,0.00138,0,414.9,0.4563843,1.21,3.61,0.578,0.077,434.78,0,78.562,0.1107925,0.2942654,0.000135961,0.007672264,0.08811444,0.157045,0.09195568,0.02416422,0.005082002,0.6488021,0.3836895,0.001539058,0.06880698,0.03944127,0.2834153,0.0111,0.00409,0.023,0.01632647,0.09977549,0.04568835,0.0117678,0.000954916,0.000434335,0.0377,9.09E-07,0.00012,0.05,0.000185,0.000728,0.000208,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
